"name","ref","id","address/name","address/street","address/street2","address/zip","address/city","address/country_id.id","address/phone","address/fax","address/email","property_payment_term.id","credit_limit","x_nif","x_stat","x_cif","customer","supplier"
"TTRA MOISE TANA","C22012","C22012","MR MOISE NOUROUDINE","EX SUPER CASH ANDRAVOAHANGY","TANA 101",,,135,"2264597/0331261568",,,5,0,"231923","575935  ",,"TRUE","FALSE"
"PROMOD'OR","C22013","C22013",,,,,"ANTANANARIVO ISOTRY",135,,,,5,2000000,"11 - 653544","52251112005003800  ",".0032445","TRUE","FALSE"
"ETS FFF","C22014","C22014","Daniel","IV D4 Ankadifotsy",,"TANA",,135,"2 266 448",,,5,25000000,"9324747","574459  ",,"TRUE","FALSE"
"COMINOR","C22015","C22015","RAKOTOARIVONY Hery","20 rue pasteur antohomadinika",,"TANA",,135,"2 224 419","2 224 881","cominor@blueline.mg",5,20000000,"6604852",,,"TRUE","FALSE"
"HOTEL COLBERT","C22016","C22016",,"29 Rue PRINCR RATSIMAMANGA - BP 341",,"101","ANTANANARIVO",135,"22 202 02","Fax: 22 340 12","colbert@bow.dts.mg",5,20000000,"200 000 1440","22101 00 1959 0 00021","0174002 DGI B DU 02/06/10","TRUE","FALSE"
"SMATP","C22017","C22017",,,,,,135,,,"smatp@hotmail.com",5,10000000,"105005277","45212 11 1986 01 0004  ","0002105 DGI-A DU 24/06/08","TRUE","FALSE"
"CIMELTA MADAGASCAR","C22018","C22018","M. ZO","447, BOULEVARD RATSIMANDRAVA","OUEST AMBOHIJANAHARY",,,135,"22 226 31","22 224 24","cimelta@cimelta.mg",5,15000000,"4000035955","51366 11 1986 0 00106","0174103 DGI-B du 11 06 10","TRUE","FALSE"
"COLAS","C22019","C22019","MR BENJAMIN","BP 133","ROUTE D'ARIVONIMAMO","101","ANTANANARIVO",135,"2 220 416","22 327 21","colas@colas.mg",5,50000000,"105014382","45212 11 2005 003208  ",,"TRUE","FALSE"
"SCB","C22020","C22020","M.JOSE","I V W 4 BIS","ANOSIZATO BP 944","101","ANTANANARIVO",135,"22 262 60","22 626 41","scb@scb.mg",5,7000000,"105008862","45212 11 1958 01003  ","0002765 DGI-A DU 18/05/09","TRUE","FALSE"
"QIE ELDORAUTO","C22021","C22021","MR. ANDRE","LOT 1 TB TALATAMATY",,"101","ANTANANARIVO",135,"0331407196/0320455663",,,5,0,"5616660",,,"TRUE","FALSE"
"QIE RMD","C22022","C22022","Mme LOVA","Lot IVH  AMBOHIMANANDRAY","AMBOHIMANARINA","101","ANTANANARIVO",135,"22.693.80/0331247085",,,5,3000000,"47746",,,"TRUE","FALSE"
"QIE ANJARASOA","C22023","C22023","Mr.CHRISTOPHE","AVARATETEHEZANA  SABOTSY NAMEHANA",,,,135,"033.12.631.06",,,5,7000000,"734751",,,"TRUE","FALSE"
"QIE MAZAVA","C22024","C22024","MME  LEA","IVATO  AEROPORT  LOT K 5 104 TER",,,,135,"331145224",,,5,15000000,"9997686",,,"TRUE","FALSE"
"QIE FINARITRA","C22025","C22025","Mr. LIVASOA","Lot: IVN 54 B TER  Andohatapenaka",,"101","Antananarivo",135,"22.321.70",,,5,3000000,"2442836",,,"TRUE","FALSE"
"BASE  S.A.R.L","C22026","C22026","MME MANITRA","LOT 12 ANTEHIROKA IVATO",,,"ANTANANARIVO",135,"22.440.55","2244055",,5,0,"80823229",,,"TRUE","FALSE"
"QIE FITAHIANA","C22027","C22027","MME HANITRA","LOT II 43 IRA  ANKADINDRAMAMY",,"101","ANTANANARIVO",135,"324000235",,,5,0,"5428867",,,"TRUE","FALSE"
"A.T.A SARL","C22028","C22028","Mr. HERY","IVD 89 A BEHORIRIKA",,"101","ANTANANARIVO",135,"331153544",,,5,5000000,"3000108815",,,"TRUE","FALSE"
"E/SE MANAMBINA","C22029","C22029","MME LANDY","LOT AZ 9 T BIS","ANOSIZATO OUEST","101","ANTANANARIVO",135,"2261237/0320445050",,,5,2000000,,,,"TRUE","FALSE"
"STE ANDRIA ( CLIENT DOUTEUX )","C22030","C22030","MR. ERICK","LOT ID 149 AKADIKELY ILAFY",,,"ANTANANARIVO",135,"331270361",,,5,0,,,,"TRUE","FALSE"
"QIE KINTANA","C22031","C22031","MR.YSSOUFALY","14 RUE MARGUERITE BARBIER","ANDRAVOAHANGY","101","ANTANANARIVO",135,"22.250.14",,,5,3000000,"7581813",,,"TRUE","FALSE"
"AKBABARALY RIAZ","C22032","C22032","MR.RIAZ","lot:IBM 57 TSARALALANA",,"101","ANTANANARIVO",135,"22.658.93/0331105622",,,5,6000000,"1409",,,"TRUE","FALSE"
"CO.TE.SUD","C22033","C22033","Mme Voahangy","BP. 008 ROUTE D'ALAROBIA",,"101","ANTANANARIVO",135,"23.228.23",,,5,15000000,"5173535",,,"TRUE","FALSE"
"SUN AUTO","C22034","C22034","Mr.SUNIL","LOT: I P 13 ISOTRY",,"101","ANTANANARIVO",135,"22.381.12",,,5,2000000,"10035230",,,"TRUE","FALSE"
"T/TRA ZIJIBLA","C22035","C22035","Mme YAKOUBALY","LOT 4 D IMERINAFOVOANY",,,,135,"331104235",,,5,20000000,"1213427",,,"TRUE","FALSE"
"QIE ORIENTALE","C22036","C22036","MR. RATOVO","LOT 231 F I E AMBOHIMAHITSY","AMBOHIMANGAKELY",,,135,"22.006.43/0331138140",,,5,0,"6328461",,,"TRUE","FALSE"
"RANDRIANASOLO EDOUARD QIE MJ","C22037","C22037","MR. DOUDOU","LOT 155 AB AVARATETEHEZANA AMPIT/KA",,"101","ANTANANARIVO",135,"331415345",,,5,5000000,,,,"TRUE","FALSE"
"RAZANAKOLONA","C22038","C22038","MR ANDRIANILANA","I V Y 09 ANOSIPATRANA","TANA",,,135,"324038676",,,5,10000000,"92423",,,"TRUE","FALSE"
"QIE RAZA","C22039","C22039","SOKATALY RAZA","LOT:II 0 01 ANJANAHARY","DOM I B M 92/10 TSARALALANA","ANTANANAR",,135,"324031926",,,5,7000000,"291635",,,"TRUE","FALSE"
"BLUE PRINT","C22040","C22040",,,,,,135,,,,5,15000000,"33 927",,,"TRUE","FALSE"
"SMC","C22041","C22041","RADAVIDRA THIERRY",,,"101","ANTANANARIVO",135,,,,5,15000000,"2348661",,,"TRUE","FALSE"
"AC2B","C22042","C22042","CLAUDE ROBERT BAYS","IB 65 IAVOLOHA",,"TANA",,135,"331 136 096",,,5,0,,,,"TRUE","FALSE"
"SAVONNERIE TROPICALE","C22043","C22043",,"ANKORONDRANO",,"TANA",,135,"2 225 324","2 234 512","savtrop@wanadoo.mg",5,20000000,"4396153",,,"TRUE","FALSE"
"LABO-MECA","C22044","C22044",,"ENCEINTE STEDIC AKORONDRANO BP12148",,"TANA",,135,"2 235 270","2256982",,5,0,,,,"TRUE","FALSE"
"SOMETO","C22045","C22045",,"006A AMBOHIBOA",,"105","ANTANANARIVO",135,"2 244 762","2 248 024",,5,7000000,,,,"TRUE","FALSE"
"BUREAU SERVICE MADAGASCAR","C22046","C22046","MR AZIM","13, RUE PATRICE LUMUMBA",,"101","ANTANANARIVO",135,"22 295 69",,,5,200000,,,,"TRUE","FALSE"
"E. RAF (ENTREPRISE RAFANOMEZANTSOA)","C22047","C22047","MR LALASOLO","LOT A 78","AMBOHITRARAHABA","101","ANTANANARIVO",135,"032 02 693 50-032 40",,,5,0,,,,"TRUE","FALSE"
"FIMPIBAMA","C22048","C22048",,,,,,135,,,,5,6000000,"15411813",,,"TRUE","FALSE"
"FIBASOM MAJUNGA","C22049","C22049","ZAID","BP 197",,"MAJUNGA",,135,"6 222 235","6 229 354",,5,0,,,,"TRUE","FALSE"
"EMADALY KOURECH","C22050","C22050","MR KOURECH",,,"101 TANA",,135,"2 233 134","2 233 134",,5,5000000,"52118111994000154","3000009133","0103649 DGI/B DU 26/05/11","TRUE","FALSE"
"SUNTHESIS","C22051","C22051","MADAME ANDRY","BP 4297","IMERINAFOVOANY","101","ANTANANARIVO",135,"22 452 69",,,5,7000000,"4000009562","45221 11 1990 0 00030",,"TRUE","FALSE"
"HATIMI STORE","C22052","C22052","MR HATIM","LOT II N 152 BIS","ANALAMAHITSY","101","ANTANANARIVO",135,"22 426 65",,,5,6000000,,,,"TRUE","FALSE"
"Q ITOKIANA AMBOHITRARAHABA","C22053","C22053",,,,,"ANTANANARIVO",135,"331126795",,,5,5000000,"36740",,,"TRUE","FALSE"
"SIDEROS","C22054","C22054",,"LOT IVX 29 TER LALANA DR RASETA","ANKASINA TANA 101","ANKASINA","TANANARIVE",135,"22 659 31  22 28011",,,5,6000000,,,,"TRUE","FALSE"
"KRAOMITA MALAGASY","C22055","C22055","MR JOHANESA","BP 936 AMPEFILOHA","TANA 101","TANA",,135,"22 243 04","22 246 54","kraoma@wanadoo.mg",5,100000000,"571 181 3",,,"TRUE","FALSE"
"ETS JACQUIS","C22056","C22056",,,,,,135,,,,5,0,"9447868",,,"TRUE","FALSE"
"FIMPIBAMA","C22057","C22057","MR DOMINIQUE","IVATO LOT 1207 MC","TANA",,,135,"331177211",,,5,5000000,"9 981 756",,,"TRUE","FALSE"
"BRASSERIE STAR","C22058","C22058",,"USINE ANDRAHARO",,,,135,"2 269 261","2 261 220",,5,5000000,"3419",,,"TRUE","FALSE"
"QUINCAILLERIE TSM","C22059","C22059","MME TIANA","LOT III A 191 TANJOMBATO",,"101","ANTANANARIVO",135,"22 573 48",,,5,5000000,"105012820",,,"TRUE","FALSE"
"SPECIAL SECURITY AND SERVICES","C22060","C22060",,"ANALAMAHITSY",,"TANA",,135,"2 241 545","2249076",,5,10000000,,,,"TRUE","FALSE"
"MECOMAD","C22061","C22061","MR EDJAZ","LOT I V 7  ATER AMBODIVONIKELY","AMBOHIMANARINA","TANA",,135,"23 356 36/0320452515",,,5,10000000,"105 008 544",,,"TRUE","FALSE"
"AEROMARINE","C22062","C22062","M. MICHEL","AMBOHIBAO",,"102","ANTANANARIVO",135,"22 468 31","22 468 32",,5,15000000,"105004508","  ",,"TRUE","FALSE"
"SICOB GROUPE","C22063","C22063","M. MICHEL","ZONE INDUSTRIELLE FORELLO","TANJOMBATO","102","ANTANANARIVO",135,"22 464 08","22 470 79",,5,0,"107009375",".67109111985000007  ",".0024034 DGI-A","TRUE","FALSE"
"AGRICO GROUPE","C22064","C22064","M. SERGE","BP 1153","TSARALALANA","101","ANTANANARIVO",135,"22 324 99","22 269 21",,5,6000000,"36740",".51436111987000027  ",,"TRUE","FALSE"
"OIM EXPORT / TANNERIES D'ANJEVA","C22065","C22065","MME HOLY","24, RUE RADAMA","TSARALALANA","101","ANTANANARIVO",135,"22 223 73 /42 68001","22 223 73 / 42 68005","jb@oimjb.com",5,20000000,"105009158","19110 11 1992 0 10023  ","0057798/DGI/B DU 12/11/09","TRUE","FALSE"
"SYMPHONIE PROMOTION SARL","C22066","C22066","M. TURMINE BENOIT","BP 8422",,"101","ANTANANARIVO",135,"22 526 31/0330508560","24 106 69","symphonie.admin@iris.mg",5,0,"105 015 704","70201  11  2005 0 10259  ",,"TRUE","FALSE"
"PARDON CONSTRUCTION","C22067","C22067","MME FANJA","LOT IVX 29 BIS ANKASINA ANKAZOMANGA","ANDRAHARO","101","ANTANANARIVO",135,"24 104 20",,"nirin4@yahoo.fr",5,5000000,"107015768",".74211112003000285  ",,"TRUE","FALSE"
"RANOSOA - GROUPE AGRICO","C22068","C22068","M. SERGE","9, RUE INDIRA GANDHI","TSARALALANA","101","ANTANANARIVO",135,"22 324 99","22 269 21",,5,15000000,"5520325",".41001112004000031  ",,"TRUE","FALSE"
"MARGROS - GROUPE AGRICO","C22069","C22069","M. SERGE","9, RUE INDIRA GANDHI","TSARALALANA","101","ANTANANARIVO",135,"22 324 99","22 269 21",,5,0,"107003630",".2101911198710137  ",,"TRUE","FALSE"
"ECOENERGY - GROUPE AGRICO","C22070","C22070","M. SERGE","9, RUE INDIRA GANDHI","TSARALALANA","101","ANTANANARIVO",135,"22 324 99","22 269 21",,5,2000000,"5520325",".51412112001000014  ",,"TRUE","FALSE"
"STE CONSTRUCT","C22071","C22071","MR BOILLAT","ANDRAHARO","VILLA SIKKIM RUE DR RASETA","TANA",,135,"2 222 024","2 222 076","kwan_construct@yahoo.fr",5,50000000,"105 014 937","45213112001000200  ",,"TRUE","FALSE"
"POINT PACOM/ANKORONDRANO","C22072","C22072","MR THIERRY","ENCEINTE KOMAFI","ROUTE DES HYDROCARBURES","101","ANTANANARIVO",135,"22 339 24","22 585 66",,5,6000000,"123727",,,"TRUE","FALSE"
"MR BRICOLAGE","C22073","C22073","MR GUTIREZ","ROUTE DES HYDROCARBURES","ANKORONDRANO","TANA",,135,"2231794","2269971",,5,50000000,"105006363","51431112000010000  ",,"TRUE","FALSE"
"RANAIVOSOA JOSINET","C22074","C22074",,"LOT II E 81 TPF Tsarahonenana",,"101",,135,,,,5,0,,,,"TRUE","FALSE"
"SUN OF ISLANDS","C22075","C22075","MME BAKOLY","BP 1429","SOAVINANDRIANA","101","ANTANANARIVO",135,"22 290 04","22 401 40",,5,6000000,"105 005 285",,,"TRUE","FALSE"
"JSK SYSTEM","C22076","C22076","MME PATRICIA / M. SOLOFO","BP 4027 - IMMEUBLE IKOPA CENTER","TANJOMBATO","101","ANTANANARIVO",135,"032 04 27631/03311759",,,5,0,,,,"TRUE","FALSE"
"CHOCOLATERIE ROBERT","C22077","C22077","M. NIRINA RAMANANDRAIBE","472, BOULEVARD RATSIMANDRAVA","OUEST AMBOHIJANAHARY","101","ANTANANARIVO",135,"22 205 65-0320521801","22 243 18",,5,0,"105000326",".15825111939010002  ",".0013011DGI-A","TRUE","FALSE"
"MR FACROUDINE","C22078","C22078","MR FACROUDINE","LOT II P 23 B BESARETY","EN FACE GARAGE DAVID","TANA",,135,"22 237 54/0320707254","2234499",,5,5000000,"5 827 066",,,"TRUE","FALSE"
"SYNAPSES","C22079","C22079","MR LUCAS RAOILY","LOT III S 6 C ANOSIBE","TANA 101",,,135,"331220543",,,5,5000000,,,,"TRUE","FALSE"
"SOGEA SATOM","C22080","C22080",,"BOROSY TALATAMATY","AMBOHIDRATRIMO",,"ANTANANARIVO",135,"22 587 36","22587 40","mbola.raoeliarijao@vinci-construction.com",5,700000000,"105007466","45221 11 1985 00 00029  ","0002841 DU 100609","TRUE","FALSE"
"QIE TOM","C22081","C22081","MR TOM","LOT II M 58 BIS","ALAROBIA","101","ANTANANARIVO",135,"22 423 49","22 438 80","smtp@smtp.comm",5,0,,,,"TRUE","FALSE"
"TANA CREX","C22082","C22082","M DJOUMA LILA","LOT 18D IMESINAFOVOANY",,"BP11064",,135,,,"tanacrex@wanadoo.mg",5,0,"105000988","558064  ",,"TRUE","FALSE"
"BATILAND","C22083","C22083","M ABIDEALY GOULAM HOUSSEN SALIM","RUE MARGUERITE BARBIER",,"TANA",,135,"2224322/24385/54185","2226971",,5,6000000,,,,"TRUE","FALSE"
"JITENCO SARL","C22084","C22084","M NJAKA","12 RUE AMPANJAKA TAERA",,,,135,"2354938","2337827",,5,5000000,"105 004 924",,,"TRUE","FALSE"
"TECHNI-FROID MADAGASCAR","C22085","C22085","MR ANTSA","LOT 003 G BIS AMBOHIBAO",,"BP11043","TANA",135,"2204308/09","2245588",,5,5000000,"105006436",,,"TRUE","FALSE"
"AIR LIQUIDE SOAM","C22086","C22086","M RABEVAHOAKA","ANOSIVAVAKA AMBOHIMANARINA",,"BP 53","TANA",135,"2322506","2320909","soam@moov.mg",5,0,"105005285","23103 11 1949 010 002  ","002754 DGI-A DU 14/04/09","TRUE","FALSE"
"QIE MORA VIDY II","C22087","C22087","MR RABEKOTO PAUL","LOT 019 B AMBOHIBAO",,,"TANA",135,"324125488",,,5,20000000,,,,"TRUE","FALSE"
"CMM","C22088","C22088","MME VERONIQUE","LOT II I 164 D BTS ALAROBIA",,,"TANA",135,"2420141/0324034263",,,5,20000000,,,,"TRUE","FALSE"
"METALLIKIT","C22089","C22089","MR VAISSAUD Vincent","ANTANETIBE-LLAFY-ANTANANARIVO 101",,"BP 4359","TANA",135,"2329797/0320740012","2329797","metallikit@iris.mg",5,20000000,"107006344",".51443112001010089  ",".0122578DGI-B","TRUE","FALSE"
"QIE DAYA","C22090","C22090","M. DAYA","LOT IP 10","ISOTRY","101","ANTANANARIVO",135,"22 324 75 0320251750","2 225 947",,5,15000000,"2733142",,,"TRUE","FALSE"
"ENTREPRISE EZAKA","C22091","C22091","MR GASTON","LOT II I 58 ALAROBIA",,"BP 101","TANA",135,"2253470",,,5,10000000,"105 007 198",,,"TRUE","FALSE"
"MR RASSAY","C22092","C22092","MR RASSAY","3 RUE RABEFIRAISANA ANALAKELY",,"BP 101","ANTANANARIVO",135,"2223081",,,5,3000000,"105009271",,,"TRUE","FALSE"
"XXXXXX","C22093","C22093","MME SAKILA",,,,,135,,,,5,0,"6047348",,,"TRUE","FALSE"
"MAISON MOHAMMADI","C22094","C22094","M. MOURTOUZA SAFI","Avenue Pasteur",,,"ANTSIRANANA",135,"82 226 94 0320707841","82 226 94","safi@moov.mg",5,30000000,"4981620",".52271712006000666  ",".0010160 DU 18/05/09","TRUE","FALSE"
"NEWPACK","C22095","C22095",,,"BP1484","101","ANTANANARIVO",135,"2221650",,,5,10000000,"121 100 823",,,"TRUE","FALSE"
"M/CAR HELICOPTERE","C22096","C22096","MR RANARIVELO THIERRY","30 RUE ERULZ RANARIVELO BEHORIRIKA",,"101","ANTANANARIVO",135,"2228915/0320702424","2232493","compta-madaheli@blueline.mg",5,10000000,"105 006 436","62 009 11 1997 0 10097  ",,"TRUE","FALSE"
"FERIDE ISMAEL","C22097","C22097",,,,,,135,,,,5,5000000,"106011406",,,"TRUE","FALSE"
"DANIL ISMAEL","C22098","C22098",,,,,,135,,,,5,0,"719875",,,"TRUE","FALSE"
"RICHAD ISMAEL","C22099","C22099",,,,,,135,,,,5,20000000,"17 741 813",,,"TRUE","FALSE"
"ISMAEL DJADAWJEE","C22100","C22100",,,,,,135,,,,5,20000000,,,,"TRUE","FALSE"
"PERSONNEL GROUPE","C22101","C22101",,,,"101",,135,,,,5,0,"4802139",,,"TRUE","FALSE"
"CCS SUNRAYS","C22102","C22102","MR RABEARISOLO","LOT 1 PB 70 TER ITAOSY BEMASOANDRO",,,,135,"2225923/0320710956",,,5,1500000,,,,"TRUE","FALSE"
"ECHANTILLON","C22103","C22103",,,,,,135,,,,5,0,"5952047",,,"TRUE","FALSE"
"QIE MIADANA","C22104","C22104","MR JALEANE","ANALAMAHITSY",,,,135,"331118248",,,5,20000000,,,,"TRUE","FALSE"
"MADAME RAHANTARISOA","C22105","C22105","MR CELY",,,,,135,"331102764",,,5,6000000,,,,"TRUE","FALSE"
"SOCIETE LIBERTALIA","C22106","C22106","MR LEON","BP 147 IVATO",,"105/IVATO","ANTANANARIVO",135,"2244574/2244348",,,5,0,"12312326",,,"TRUE","FALSE"
"HENRI FRAISE FILS ET CIE","C22107","C22107","MR TOKY","90, LALONE RAVONINAHITRINIARIVO",,"BP 28","ANTANANARIVO",135,"2222721","2229123/2228420","ndrato@fraise.hff.mg",5,200000000,"105007784","50302 11 1957 0 10003  ","0002286 DGI-A DU 31/07/08","TRUE","FALSE"
"SOCIETE HENTON SARL IVATO","C22108","C22108","MME TAMTELY","K4103 AMPARDROANA",,,,135,"2244055/2251918","2248708",,5,5000000,,,,"TRUE","FALSE"
"QIE SHEMIR","C22109","C22109","MR SHEMIR","LOT 1VI ANDRAVOANGY",,"101","ANTANANARIVO",135,"320458393",,,5,3000000,"105001314",,,"TRUE","FALSE"
"FERRONERIE D'ART","C22110","C22110","MR RAKOTOMALALA NAINA","LOT II 1X ANDRAROBENOVA",,"101","ANTANANARIVO",135,"2240728/0331109021",,"ferodar@moov.mg",5,10000000,"4231813",".28299112004010299  ",".0128072 DU 14/09/09","TRUE","FALSE"
"FAIR MADAGASCAR","C22111","C22111","MR CHAN THIERRY","LOT III G 10","AMBATOLAMPY","101","ANTANANARIVO",135,"033 02 03 008",,"fairmadtana@moov.mg",5,1000000,"105012543","52217 11 2005 0 00681  ",,"TRUE","FALSE"
"MKLEN INTERNATIONAL","C22112","C22112","MR SINGH/MME SYLVIA","PK18 ANOSIALA AMB.TRIMO",,,,135,"2207785/0320787885","2207788",,5,2000000,,,,"TRUE","FALSE"
"ENT COGER","C22113","C22113",,,,,,135,,,,5,3000000,"8453848",,,"TRUE","FALSE"
"QIE RS","C22114","C22114","MR NAINA","LOT UB 10A AMBATOROKA",,"101","ANTANANARIVO",135,"2221097",,,5,6000000,".059520047",".51436112001000129  ",".0025301DGI-A DU 06/01/09","TRUE","FALSE"
"LOVASOA GPE RAMANANDRAIBE","C22115","C22115","MR RAMANANDRAIBE NIRINA","472, BOI RATSIMANDRAVA",,,,135,"320521801",,,5,5000000,,,,"TRUE","FALSE"
"AMBASSADE DE RUSSIE","C22116","C22116","STEPANOV SLAVA","IVANDRY AMBOHIJATOVO",,,,135,"2242816","2242642",,5,25000000,,,,"TRUE","FALSE"
"MME RAKOTOMALALA FAMENONTSOA","C22117","C22117","MR NAINA","MR VQ4 WWA MANDROSEZA",,"101","ANTANANARIVO",135,"331222589",,,5,8000000,"7962353",,,"TRUE","FALSE"
"PRO IMMO/CONSTRUCTION","C22118","C22118","MME RINA","LOT PRES C 38 BIS ANDRANOMENA",,"101","ANTANANARIVO",135,"2457954/0320741858",,,5,10000000,"105000791",,,"TRUE","FALSE"
"MADAGASCAR DYEING MILLS","C22119","C22119","MR HOLY","BP 1516 ENCEINTE MATERAUTO ANKOROND",,"101","ANTANANARIVO",135,"2262402","2262408",,5,0,"60 516 201.",,,"TRUE","FALSE"
"SOFITRANS","C22120","C22120","MR HAINGO","CENTRO COMMERCIAL SOMACODIS ANTANIM","BP8310","101","101 ANTANANARIVO",135,"22333330",,,5,6000000,,,,"TRUE","FALSE"
"QIE SANDA","C22121","C22121","MR SARIAKA","LOT AZ 208 KI",,"101","ANTANANARIVO",135,"320700202",,,5,2000000000,"1161621",,,"TRUE","FALSE"
"MICROMAD EURL","C22122","C22122","MR RICHAD","IMMESUBLE CITIC BEHORIRIKA","PORTE 306 2E ETAGE","101","ANTANANARIVO",135,"2426925/0320428889",,,5,0,"665958",,,"TRUE","FALSE"
"T D L (TRANSPORTEUR DIDIER LEONG)","C22123","C22123",,"LOT III N 48 SOANIERANA",,"101","ANTANANARIVO",135,,,,5,45000000,"6610631",,,"TRUE","FALSE"
"SAFETECH","C22124","C22124","MR ARSENE","LOT II 5 172 N INVANDRY VILLA CLARA",,"101","ANTANANARIVO",135,"330051996",,"g4s@mg.g4s.com",5,3000000,"105014994",".74322112002010084  ",".2592DGI-A","TRUE","FALSE"
"VICTORIA","C22125","C22125","MR RICHAD BARDAY","BP3607","ZONE FORELLO TANJOMBATO",,,135,"2426500/0320216549",,,5,2000000,"9701",,,"TRUE","FALSE"
"AREPLAST","C22126","C22126","MR RADO RAZAKABOANA","BP 12081",,,,135,"2244270/0321177816","2244220",,5,6000000,"624263",,,"TRUE","FALSE"
"MATERAUTO","C22127","C22127","MR HERIVELO","BP 1616 ANKORONDRANO",,,,135,"2223330","2233729",,5,6000000,"3113123",,,"TRUE","FALSE"
"ROOLA TRADE","C22128","C22128",,"LOT 35A IMERINAFOVOANY TALATAMATY",,"101","ANTANANARIVO",135,"2208986","2228986",,5,10000000,"107013570","51436 11 2002 000627  ","0003737 DGI ADU 14/10/08","TRUE","FALSE"
"SANIFER","C22129","C22129","MME LISY","LOT II I 20AA MORARANO ROUTE DU PAP",,"101","ANTANANARIVO",135,"2253081/82",,,5,1000000,,,,"TRUE","FALSE"
"QIE MASOANDRO","C22130","C22130",,"BP 93",,"201","DIEGO",135,"8221232/0320709831",,,5,16000000,"971948",,,"TRUE","FALSE"
"QIE HEDERALY","C22131","C22131","MR HEDERALY","VILLAGE DES JEUX EN FACE BAT C2",,"101","ANTANANARIVO",135,"320728616",,,5,10000000,".073729",".52251111982000023  ",,"TRUE","FALSE"
"STE BALLOU & CIE","C22132","C22132",,"Lot IVL 2 Ter Ambodivonkely","Andraharo","TANANARIV",,135,"22 220 80","Fax 22 350 66",,5,30000000,"679272",,,"TRUE","FALSE"
"ENTREPRISE RASOANAVO","C22133","C22133","MR DONAL PATRICK","LOT II B 12 AMPARDRANA",,"101","ANTANANARIVO",135,"2424372/0331407361","2424372",,5,2000000,"105007416",,,"TRUE","FALSE"
"QUINCALLERIE LINASOA","C22134","C22134","MAMINIAINA HORTENSIA","LOT 203 CITE MANDROSEZA",,"101","ANTANANARIVO",135,"320773014",,,5,6000000,"105005146",,,"TRUE","FALSE"
"LIHA BTP","C22135","C22135","ANDRIANAINARIVELO","LOT IB274 ANDOHARANOFOTSY","BP3735","101","ANTANANARIVO",135,"320501449","2253397","hendry@moov.mg",5,50000000,"6610631",".45212112006005382  ",".000913221DGI-B DU 26/09/09","TRUE","FALSE"
"LTRS ETS","C22136","C22136","RAHARINOSY STENIO","LOT III K 8 BIS",,"101","ANTANANARIVO",135,"2451480/0331114915",,,5,7000000,"11973555",,,"TRUE","FALSE"
"TRANO MADACONFORT","C22137","C22137","ORIAL PATRICK","IMMEUBLE CAP 3000",,,,135,"2332003/0320485843",,"330202057",5,6000000,"1793036",,,"TRUE","FALSE"
"ZAFITSARA - GPE RAMANANDRAIBE","C22138","C22138","MR RAMANANDRAIBE","11, RUE INDIRA GANDHI",,"101","ANTANANARIVO",135,"320521801",,,5,6000000,"107007373",".70201112001010027  ","CP 0244672E","TRUE","FALSE"
"QUINCALLERIE MANJA","C22139","C22139","MR RAFIKHOUSSEN MOUNIR","LOT 05 E 40 AMPORTONA",,,"ANTSIRABE",135,"4448293","320541441",,5,10000000,"8802446",,,"TRUE","FALSE"
