ref,name,address/name,address/street,address/street2,address/city,credit_limit,address/phone,address/fax,email,x_nif,x_stat,customer,supplier
C22015,CLIENT DIVERS/VENTES AU COMPTOIR,,C/O AGRIVET,AMBOHIBAO,AMBOHIDRATRIMO,250000000,,,,,,TRUE,FALSE
C22016,ANDRIAMPANARISOA DAUPHIN,,LOT B 36 Ambohidratrimo,MAHITSY,AMBOHIDRATRIMO,15000000,322690151,,,6092530,522968,TRUE,FALSE
C22017,TSENA MIRA,Mme SAHALA,III 217 TANJOMBATO SUD,ANTANANARIVO,,15000000,032 04 468 35,,034 04 171 22,,,TRUE,FALSE
C22018,CABINET VETO MAHITSY,DR VOLOLONA,,,,10000000,320489360,,,,,TRUE,FALSE
C22019,GOLF DU ROVA,0320726497 MR TOLOTRA,AMBOHIDRATRIMO,BP464 ANTANANARIVO,AMBOHIDRATRIMO,12000000,034 12 039 55 ,,golfdurova@moov.mg Contact: Mme Hanitra,,,TRUE,FALSE
C22020,SABMA,MR REZA,TALATAMATY,,AMBOHIDRATRIMO,7500000,320472464,,,,620640,TRUE,FALSE
C22021,LA HUTTE CANADIENNE,,PK 14.5 ROUTE D'IVATO,,AMBOHIDRATRIMO,90000000,22 442 65/440 91,22 355 15,,54934,5.12321119941001E+016,TRUE,FALSE
C22022,ETABLISSEMENT NY ANTSIKA,,LOT K III 109 IVATO,,AMBOHIDRATRIMO,0,,,,,130049,TRUE,FALSE
C22023,FRANCE ALU,,MAIBAHOAKA IVATO,,AMBOHIDRATRIMO,1000000,,,,,,TRUE,FALSE
C22024,PATCHWORK CREATION,,LOT AD 19 ANKADINDRAVOLA IVATO,,AMBOHIDRATRIMO,0,,,,,,TRUE,FALSE
C22025,ETABLISSEMENT PETIT LOUIS,,ANTANETIBE IVATO,,AMBOHIDRATRIMO,0,,,,,108855,TRUE,FALSE
C22026,SDC AGRI,MR ALAIN,LOT 12 P TALATAMATY,,AMBOHIDRATRIMO,10000000,320421901,22 445 00,sdcagri@wanadoo.mg,,574554,TRUE,FALSE
C22027,SOCIETE VINOTA,,PK 10 RN 4 ROUTE DE MAJUNGA,,AMBOHIDRATRIMO,0,,,,,537619,TRUE,FALSE
C22028,RAKOTOBE DOMINIQUE,,LOT 112 C AMBOROMPOTSY TALATAMATY,,AMBOHIDRATRIMO,0,,,,,525029,TRUE,FALSE
C22029,TANA CREX,,18 D IMERINAFIVOANY TALATAMATY,,AMBOHIDRATRIMO,0,,,,,,TRUE,FALSE
C22030,RATSIMBAZAFY Herve,,C/O AGRIVET,AMBOHIBAO,AMBOHIDRATRIMO,0,,,,,,TRUE,FALSE
C22031,ANDRIANANDRASANA Herijaona,,C/O AGRIVET,AMBOHIBAO,AMBOHIDRATRIMO,0,,,,,,TRUE,FALSE
C22032,QUINCAILLERIE RAPANOHA,,LOT 100 AMBOHIJANAHARY - IVATO,,AMBOHIDRATRIMO,0,,,,,6123354,TRUE,FALSE
C22033,RANAIVOSON Herimalala Jean Brice,,IVP 7 FAAMI - Antsalovana Anjozorob,,Anjozorobe,0,,,,,85978B,TRUE,FALSE
C22034,PHYTO PLUS,RABEARISON Noary,,,ANATANANARIVO,40000000,24 121 88 /0331496817,,,,5.22241120040002E+016,TRUE,FALSE
C22035,CABINET  VETO ANKAZOBE,Raharison Fidiniaina,Lot IVP 130 Ankadifotsy-tana,Lot IB 8 Ankazobe centre,ANKAZOBE,0,032 02 370 86,,fidiniaina4@yahoo.fr,8299270,571663,TRUE,FALSE
C22036,TROPICAL WOOD,,BP 163 IVATO,,TANA,500000,,,,105 010 712,20101 11 1997 0 000 84,TRUE,FALSE
C22037,MADAGASCAR AUTRUCHE,MME RAKOTONDRABE,LOT II B 49B,AMBODITSIRY,TANA,0,22 414 58/0320269172,22 405 14,autruchemada@wanadoo.mg,,,TRUE,FALSE
C22038,RAZAFINDRANDRIANARISON MAMY SYLVIE,,VL 33 AMPAMATANANA ANDRONADRA,,ANTANANANARIVO,0,331157796,,,,,TRUE,FALSE
C22039,SOCIETE SVBA,MR ALLIMANT JEAN,2 M 35 R TER ANDROHIBE,,TANA,0,24 261 62,,,9717167,000 257,TRUE,FALSE
C22040,CEVOI MANAKARA,,22 RUE RAJAOFERA,C/O ETS MILLOT,ANTANANARIVO,0,,,,,,TRUE,FALSE
C22041,GERARD MON LOUP,,B.P.957 ZI FORELLO,TANJOMBATO,ANTANANARIVO,1000000,22 314 83/461 70,22 477 30,,,,TRUE,FALSE
C22042,HENRI FRAISE FILS,,B.P 28 ANKORONDRANO,,ANTANANARIVO,1000000,22 227 21,,,,5.030211195701E+016,TRUE,FALSE
C22043,ICTA,MME RAMANANTSOA,49 RUE RABEZAVANA,ANALAKELY,ANTANANARIVO,15000000,22 273 58/0320727358,2261975,ictacartiel@yahoo.fr,105005023,5.222311198901E+016,TRUE,FALSE
C22044,RASOLOMANANA JEAN FELIX,,II B 42 A SOAVIMASOANDRO,,ANTANANARIVO,0,,,,,635913,TRUE,FALSE
C22045,CABINET VETO ARCHE,DR JEAN DELORS,BP 8528 ITAOSY,,ANTANANARIVO,5000000,0331107077/22 350 11,,docteurdelors@yahoo.fr,445 38 44,51 324 11 1993 0 00 443,TRUE,FALSE
C22046,RABENANDRASANA VONY,MME. VONY,Anosibe Antananarivo,,ANTANANARIVO,100000000,033 11 815 99/2263496,,,5811843,528633,TRUE,FALSE
C22047,DECART,,9 RUE BENYOWSKI,ANTANANARIVO,ANTANANARIVO,8000000,22 329 21-22 273 58IC,22 330 68,,,538181,TRUE,FALSE
C22048,ANDRIANOTRONINA TOLOTRA MAMY,,IVH 130,ANKADIFOTSY,ANTANANARIVO,0,,,,,,TRUE,FALSE
C22049,SOPRAMAD,320715271/330743368,LOT MS 45 MASINANDRIANA ILAFY,,ANTANANARIVO,20000000,2203724 - 26 315 94-,22 047 24,sopramad@moov.mg,105005512,1.4401119870001E+015,TRUE,FALSE
C22050,TANA DISTRIBUTION,MR EDDY,LOT IIIM32ABOULEVARD RATSIMANDRAVA,BP 8729 ANTANANARIVO,ANTANANARIVO,30000000,22 061 60,22 063 71,eddie@moov.mg,,,TRUE,FALSE
C22051,TOTAL,,,,ANTANANARIVO,0,,,,,,TRUE,FALSE
C22052,SODIM,,11 RUE MAHAFAKA TSARALALANA,BP 8585,ANTANANARIVO,0,22 244 07,,,,570851,TRUE,FALSE
C22053,QUINCAILLERIE 2000,,LOT II M 6 G MAHAVOKY,,ANTANANARIVO,2000000,22 622 30,22 302 07,q.2000mg@dts.mg,,5.03011119850001E+016,TRUE,FALSE
C22054,FIMPIBAMA,,,,ANTANANARIVO,0,,,,,,TRUE,FALSE
C22055,NUTRIVET AGRI,,LOT VB 72 BIS T Ambatoroka,,ANTANANARIVO,10000000,22 282 16,22 560 56,,105004468,5.16071119990001E+016,TRUE,FALSE
C22056,RAKOTOHANDRIANARIVO RICHARD,,II N 31 TER ANALAMAHITSY,,ANTANANARIVO,0,,,,,61310639060363,TRUE,FALSE
C22057,MADAUTO,,ANDRAHARO,,ANTANANARIVO,0,22 254 54,22 333 26,,,,TRUE,FALSE
C22058,HAZOVATO,,Z.I FORELLO TANJOMBATO,,ANTANANARIVO,0,22 350 05,22 477 30,acceuil@hazovato.mg,,1.43191119590001E+015,TRUE,FALSE
C22059,SOMACOU,,BP1032 ANTANANARIVO,ILAFY,ANTANANARIVO,0,22 42 482,2242486,,,1.723111196E+016,TRUE,FALSE
C22060,SOCIETE SICO/DAYA,,,,ANTANANARIVO,0,,,,,,TRUE,FALSE
C22061,EDELEC,,BP139?RUE RASSETA Andraharo,,ANTANANARIVO,0,,,,,565263,TRUE,FALSE
C22062,RP EXPORT,,,,ANTANANARIVO,0,,,,,572190,TRUE,FALSE
C22063,PICOR,,,,ANTANANARIVO,0,,,,,567125,TRUE,FALSE
C22064,JPJ DIFFUSION,,,,ANTANANARIVO,0,,,,,,TRUE,FALSE
C22065,PHYTO-LOGIC,,,,ANTANANARIVO,5000000,2243874/0331233345,,phyto logic@wanadoo;mg,,602217,TRUE,FALSE
C22066,AMBASSADE DE FRANCE,,RESIDENCE DE FRANCE,BP 204,ANTANANARIVO,0,22 426 17/0320781771,22 426  52,r?sidence@dts.mg,588583,,TRUE,FALSE
C22067,DOOKAN,,TANJOMBATO,,ANTANANARIVO,0,,,,,177815,TRUE,FALSE
C22068,TAF,,LALANA RAVONINAHITRINIARIVO,,ANTANANARIVO,1000000,22 394 40,22 394 44,,38447,1.583111196901E+016,TRUE,FALSE
C22069,CHAUMAD,,ANKORONDRANO,,ANTANANARIVO,0,,,,,525510,TRUE,FALSE
C22070,SOMALCO,,ZI FORELLO TANJOMBATO,,ANTANANARIVO,0,,,,,69408,TRUE,FALSE
C22071,SPPM,,ZONE I FORELLO TANJOMBATO,,ANTANANARIVO,3600000,22 46408/46537,2246029,,,16165,TRUE,FALSE
C22072,LDI  USAID,MR JOELY,,,ANTANANARIVO,0,22 348 08,,,,,TRUE,FALSE
C22073,AJAY,,TSARALALANA,,ANTANANARIVO,0,,,,4571637,604470,TRUE,FALSE
C22074,DAMA ALFRED,,,,ANTANANARIVO,0,,,,,60771,TRUE,FALSE
C22075,BHL,,LOT II K 6MANGARIVOTRA - FARAVOHITR,,ANTANANARIVO,14000000,22 208 07/22 648 14,22 375 56,bhlmadagascar@moov.mg,105001053,9.000211199201E+016,TRUE,FALSE
C22076,MALTO,,C/O STAR,,ANTANANARIVO,5300000,22 277 11/22 692 12,,,,,TRUE,FALSE
C22077,FERME BEVALALA,P?re JEAN RAPHAEL RAKOTONDRASOA,Bevalala,ANDOHARANOFOTSY,ANTANANARIVO,6000000,24 350 39,,,,,TRUE,FALSE
C22078,CABINET VETERINAIRE DE MAHAZOMA,,CR MAHAZOMA,,,1000000,034 01 864 19,,,,,TRUE,FALSE
C22079,DELTA CONSTRUCTION ET MAISON,MME BAKOLY,ROUTE DES HYDROCARBURES,ANKORONDRANO,ANTANANARIVO,1000000,22 265 11,,delta@delta.mg,,514860,TRUE,FALSE
C22080,AFOMA,,C/O STEDIC ANKORONDRANO,,ANTANANARIVO,0,,,,167246,527272,TRUE,FALSE
C22081,CABINET VETO ANALAMAHITSY,,ANALAMAHITSY,,ANTANANARIVO,0,,,,,555518,TRUE,FALSE
C22082,CMA CGM,,VILLAGE DES JEUX ANKORONDRANO,,ANTANANARIVO,0,,,,,990,TRUE,FALSE
C22083,PAM,,ENCEINTE ESPACE DERA,TSIADANA - RTE DE L'UNIVERSITE,ANTANANARIVO,0,,22 232 91/322 99,,,,TRUE,FALSE
C22084,JEUNESSE POUR LE DEVELOPMT NATIONAL,,,,ANTANANARIVO,0,,,,,,TRUE,FALSE
C22085,STAR,,ANDRANOMAHERY,,ANTANANARIVO,0,,,,,1562,TRUE,FALSE
C22086,FACTORIES MC CANN,,ANDROHIBE,,ANTANANARIVO,0,,,,,601406,TRUE,FALSE
C22087,GROUPE SORAN,,19 RUE ALBERTINI ANDRAVOAHANGY,,ANTANANARIVO,0,,,,,,TRUE,FALSE
C22088,MIZAMI,MR JAONA,IV G 159 ANKADITAPAKA ANKADIFOTSY,,ANTANANARIVO,80000000,22 563 13,,mizamige@yahoo.fr,9000003,579352,TRUE,FALSE
C22089,MADAGASCAR  OIL,,LOTISSEMENT BONNET - IVANDRY,,ANTANANARIVO,0,22 436 32,,,,,TRUE,FALSE
C22090,ATELIER DE MINERVE,,17. RUE RAMELINA AMBATONAKANGA,,ANTANANARIVO,0,,,,6641336,621394,TRUE,FALSE
C22091,GUINO,,BP 4058 ANTANANARIVO,,ANTANANARIVO,0,,,,,,TRUE,FALSE
C22092,PHARMA VETO,,LOT IA 39 ISORAKA,,ANTANANARIVO,0,,,,,,TRUE,FALSE
C22093,SOGEA,,ANOSIVAVAKA AMBOHIMANARINA,,ANTANANARIVO,0,,,,,148708,TRUE,FALSE
C22094,MCI,,ZI FORELLO TANJOMBATO,,ANTANANARIVO,10000000,2257110,22 571 11,,,2.44391120020002E+016,TRUE,FALSE
C22095,SCB S.A,,ANOSIZATO EST,,ANTANANARIVO,0,,,,,12283,TRUE,FALSE
C22096,CENTRE D'ANIMATION ET LOISIR,,LOT III M 33 BL OUEST AMBOHIJANAHAR,,ANTANANARIVO,0,,,,,601764,TRUE,FALSE
C22097,SBM SERVICE BUREAUTIQUE M/CAR,,4. RUE PAUL RAPATSALAHY ANTANIMENA,,ANTANANARIVO,0,,,,,142582,TRUE,FALSE
C22098,TARIKA,,BP 11129 ANTANANARIVO,,ANTANANARIVO,0,,,,,,TRUE,FALSE
C22099,SPI FORELLO,,ZI FORELLO TANJOMBATO,,ANTANANARIVO,0,,,,,1009,TRUE,FALSE
C22100,VETO CONSEIL,DR BEBY,AMBATOMITSANGANA,,ANTANANARIVO,0,,,,,502955,TRUE,FALSE
C22101,GROUPE L'HOTEL,,LOT II F 6 FITROAFANA MANDROSOA IVA,,ANTANANARIVO,0,,,,,,TRUE,FALSE
C22102,TRANOMBAROTRA FENOSOA HASINA,,LOT IVG 102 ANKADIFOTSY,,ANTANANARIVO,1000000,,,,,,TRUE,FALSE
C22103,TIKO S.A,MR MAMY,ZFI TANJOMBATO,,ANTANANARIVO,50000000,22 468 77,22 468 80,,,5.136711188901E+016,TRUE,FALSE
C22104,COMADIS,MR DANIEL,ROUTE RAVONINAHITRINIARANKORONDRANO,BP3898,ANTANANARIVO,0,22 26450,,,,91456,TRUE,FALSE
C22105,PHARMACIE CENTRALE,MR MOLOU Sabir,ROUTE DES HYDRAUCARBURES IVANDRY,IVANDRY,ANTANANARIVO,1000000,22 439 15,,,,,TRUE,FALSE
C22106,MADACOM,,ENCEINTE VILLAGE DES JEUX ANKORONDR,,ANTANANARIVO,0,,,,,,TRUE,FALSE
C22107,ENTREPRISE BAU,MME NIVO,ANOSY,,ANTANANARIVO,0,,,,,519798,TRUE,FALSE
C22108,CABINET VETO RAKOTO,,B.P 751 AMBATONAKANGA,,ANTANANARIVO,0,,,,,615448,TRUE,FALSE
C22109,SOCIETE TSARA MORA,,ANOSIVAVAKA - AMBOHIMANARINA,,ANTANANARIVO,0,,,,,530799,TRUE,FALSE
C22110,RANAIVOSON JEAN BAPTISTE DE LA SALE,,IVH 4 A AMBOHIMANARINA,,ANTANANARIVO,0,,,,,50569,TRUE,FALSE
C22111,RAZAFIMAMONJY NANTENAINA NICOLE,,,,ANTANANARIVO,0,,,,,622668,TRUE,FALSE
C22112,SOREDIM,,ANKORONDRANO,,ANTANANARIVO,0,,,,,537453,TRUE,FALSE
C22113,SUPERMARKET,MLLE VONY,ANTSAHABE,ANTSAHABE,ANTANANARIVO,1000000,22 222 26,,,,,TRUE,FALSE
C22114,SOCIETE MAZI,,TSARALALANA,,ANTANANARIVO,0,,,,,,TRUE,FALSE
C22115,CABINET VETO AMBOHITRIMANJAKA,,Ambohitimanjaka,,ANTANANARIVO,0,,,,,,TRUE,FALSE
C22116,RAKOTOMIANDRISOA ALEXANDRE,,LOT IVO 69 P ANTOHOMADINIKA,,ANTANANARIVO,0,,,,,538400,TRUE,FALSE
C22117,DERATOX,MADAME BODO,LOT V O 8 B MANAKAMBAHINY,,ANTANANARIVO,1000000,2221713/0331141111,,,7636260,9.00211200200004E+015,TRUE,FALSE
C22118,ELUCE,DR LUC,IVG 167 BEHORIRIKA,BEHORIRIKA,ANTANANARIVO,30000000,2256469/0331260671,,eluce@wanadoo .mg,7286455,8.52091120020302E+016,TRUE,FALSE
C22119,SPCI,,V I 33 RUE TSIOMBIKIBO AMBOHIJATOVO,,ANTANANARIVO,0,22 325 55,22 321 11,spci@bow.dts.mg,,530595,TRUE,FALSE
C22120,SOCIETE DES CAFES FOTIS,,B.P.1442 RTE DES HYDROCARBURES,,ANTANANARIVO,0,22 215 42,,,,67258,TRUE,FALSE
C22121,CLAIRE FONTAINE,,AMBODIVOANJO - IVANDRY,,ANTANANARIVO,0,,,,,519231,TRUE,FALSE
C22122,SICOB,MR MAURICE,ZI FORELLO TANJOMBATO,,ANTANANARIVO,0,22 464 08,22 570 79,,,148654,TRUE,FALSE
C22123,WELDOM,,ROUTE DIGUE,,ANTANANARIVO,30000000,,,,,,TRUE,FALSE
C22124,RAMBOLANIRINA PATRICE,,LOT K III 093 D AMBOHIMANAMBOLA,,ANTANANARIVO,0,,,,,123749,TRUE,FALSE
C22125,JAY AGENCEMENT,,BP 607 TSARALALANA,,ANTANANARIVO,0,22 299 94,22 299 94,,,,TRUE,FALSE
C22126,RABENAIVO,,IAH 59 BIS AVARATSENA AMBOHIDRAPET,,ANTANANARIVO,0,,,,,501208,TRUE,FALSE
C22127,SFOI,,BP 132 ANTANANARIVO,,ANTANANARIVO,0,22 464 66,,,,,TRUE,FALSE
C22128,SUNTHESIS,,BP 4227 ANTANANARIVO,,ANTANANARIVO,1000000,22 453 41,22 452 73,sunthesis@iris.mg,,522454,TRUE,FALSE
C22129,HOTEL COLBERT,,29 Rue Prince Ratsimamanga,BP341,ANTANANARIVO,1000000,22 202 02,22 340 12/254 97,colbert@moov.mg,,567,TRUE,FALSE
C22130,BRICOLAGE,Mr Dominique,ZI - ANKORONDRANO,ANKORONDRANO,ANTANANARIVO,3000000,2236907,2269971,,4730839,609585,TRUE,FALSE
C22131,BFV SG,,ANTANINARENINA,,ANTANANARIVO,0,22 206 91,,,,595895,TRUE,FALSE
C22132,INSTITUT PASTEUR DE MADAGASCAR,MR HENRI LANDART,BP 1274 AVARADOHA,,ANTANANARIVO,0,22 401 64/401 65,22 415 34,,,,TRUE,FALSE
C22133,RABETOKOTANY,,LOT II B 95 EG AMBATOMAINTY ANTANAN,,ANTANANARIVO,0,22 535 53,,,,512225,TRUE,FALSE
C22134,HANTA ARINELINA,,SI A H 13 RUE ANDRIANDAHIFOTSY,AMBONDRONA,ANTANANARIVO,0,030 23 813 97,,,,,TRUE,FALSE
C22135,ESPACE MEDICAL,DR RIVO ANDRIAMALA,AMBOHIBAO,,ANTANANARIVO,0,22 481 73,,,,536961,TRUE,FALSE
C22136,DATA CONSULTIS,,LOT II H 57 L ANKERANA,,ANTANANARIVO,0,22 401 03,,,,,TRUE,FALSE
C22137,A.C.M,,B.P.8271 AMBOHIDAHY - AMBOHIMANARIN,,ANTANANARIVO,0,2325249COMPT53 584 94,2225259,,59555,530568,TRUE,FALSE
C22138,ENDUMA,,B.P.3908 TANJOMBATO,,ANTANANARIVO,1000000,22 469 42,22 461 36,,1050005725,2.520911197601E+016,TRUE,FALSE
C22139,SSSM CARLINA,,3F 108 MAHAMASINA,,ANTANANARIVO,0,22 415 45,,,,397461,TRUE,FALSE
C22140,ETABLISSEMENT TSILAVINA,,LOT III T16A ANOSIBE ANTANANARIVO,,ANTANANARIVO,0,331422867,,,,620543,TRUE,FALSE
C22141,TRANON'NY TANTSAHA ANDRAHAVOANGY,,ANDRAHAVOANGY,,ANTANANARIVO,0,,,,,,TRUE,FALSE
C22142,MAGASIN FITIA,,MAHAZO,,ANTANANARIVO,0,320445442,,,,,TRUE,FALSE
C22143,ETABLISSEMENT SAMUEL,,ANDRAHAVOANGY,,ANTANANARIVO,0,,,,,,TRUE,FALSE
C22144,LA SCARPA - DIGUE,,ROUTE DIGUE,,ANTANANARIVO,0,,,,,,TRUE,FALSE
C22145,RAFIOU ZOUBER Jean Jacques,RAFIOU Z J.Jacques,Lot IVE 59 Ambodimita,,Antananarivo,0,,,,,,TRUE,FALSE
C22146,SIDEX OI,,Avaradoha,,Antananarivo,0,,,,,526346,TRUE,FALSE
C22147,PRINT PRECISION,,AV 349 Ambohijanamasoandro Itaosy,,Antananarivo,0,22 631 70,,,,567286,TRUE,FALSE
C22148,SOCIETE D 'EXPLOITATION ET DE G.A,M RAKOTOMALALA A,BP 613 AMBOHIMANARINA,,ANTANANARIVO,0,22 342 50,22 342 50,,,60915,TRUE,FALSE
C22149,SIMICRO,,22 RUEANDRIANARYANDRIANARIVO AMPASA,AMPASAMADINIKA,ANTANANARIVO,0,22 657 55,,,,179762,TRUE,FALSE
C22150,CABINET VETO LYSANEL,,ANDOHARANOFOTSY,,ANTANANARIVO,0,320406828,,,,,TRUE,FALSE
C22151,RAVONIARISON ODETTE,,II B 160 OUEST HOPITAL MIARINARIVO,,ANTANANARIVO,0,,,,,3690024,TRUE,FALSE
C22152,ETABLISSEMENT RABEMANANTSOA,,VE6 21 RUE SAMUEL RAMEFY AMBATONAKA,Ambatonakanga,ANTANANARIVO,20000000,22 291 90,,,,2113930,TRUE,FALSE
C22153,CARE INTERNATIONAL,,Centre commercial Tana Watterfront,Ambodivona,Antananarivo,0,22 259 58,22 637 50,caremad@bow.dts.mg,,886669,TRUE,FALSE
C22154,CABINET VETO MAHAMASINA,DR RATIARISON MODESTE,LOT III F 103 Route Tsimbazaza,,ANTANANARIVO,0,2236026/0320448969,,,2987476,599207,TRUE,FALSE
C22155,KIRARO MALAGASY S.A,,BP 11017 ANTANANARIVO,,ANTANANARIVO,0,22 234 28,,,,,TRUE,FALSE
C22156,SOGEDI PROMA,,ENTREPOT FRIGORIPHIQUE DE NANISANA,BP753  MAHAJANGA,ANTANANARIVO,5000000,22 405 27/62 230 50,22 405 27,,105011408,2006 0001 86,TRUE,FALSE
C22157,MR DEJEAN,,BP 1611,,ANTANANARIVO,0,22 232 92,,,,,TRUE,FALSE
C22158,OMNIUM INDUSTRIEL DE MAD,,BP 207 24 RIU RADAMA 1ER,,ANTANANARIVO,0,22 223 73,22 331 42/28064,,,,TRUE,FALSE
C22159,AQUAMAD,,BP 688 ROUTE DES HYDRAUCARBURES,,ANTANANARIVO,1000000,22 276 85/281 59,22 348 52,,,69605,TRUE,FALSE
C22160,ASCEL (Ass? Eleveurs Chevaux),,Andoharanofotsy Lot IB 238 Bis,,Antananarivo,0,22 465 65,,,xxxxxxxxxxxxxx,xxxxxxxxxxxxxxx,TRUE,FALSE
C22161,PAUL ARSENE,,BP 11057,,ANTANANARIVO,0,331200284,,,,,TRUE,FALSE
C22162,MADAGASCAR SININDO,,25 RUE RAPIERA AMBOHIJATOVO,,ANTANANARIVO,0,,,,,,TRUE,FALSE
C22163,FAO,,BP 39/1 ANTANANARIVO,,ANTANANARIVO,20000000,22 288 31/283 12,22 243 88,FAO MG@fao.org,,,TRUE,FALSE
C22164,TOYOTA RASSETA,,,,ANTANANARIVO,0,,,,,,TRUE,FALSE
C22165,TRANOMBAROTRA FRERES,,Andrefanambohijanahary,,ANTANANARIVO,0,,,,,,TRUE,FALSE
C22166,CIMELTA,,BP 382 OUEST AMBOHIJANAHARY,,ANTANANARIVO,0,22 226 31,,,,292,TRUE,FALSE
C22167,MAGRO,MR FRANCIS,TANJOMBATO,,ANTANANARIVO,50000000,22 469 64,,,,624638,TRUE,FALSE
C22168,TRANOMBAROTRA MALAZA,MR ADAMALY,IVL 2 J RUE DR RASETA ANDRAHARO,,ANTANANARIVO,0,22 315 12,,,,,TRUE,FALSE
C22169,LA LIGNE SCANDINAVE,,BP 679 ANTANANARIVO,,ANTANANARIVO,0,22 223 56,,,105000636,6.11091120030005E+016,TRUE,FALSE
C22170,RAJERISON MARIE CLAUDINE,,B 97 BIS SABOTSY NAMEHANA,,ANTANANARIVO,0,,,,,638372,TRUE,FALSE
C22171,ENTREPRISE VALISOA,MR JEANNOT,157II 0140 B ANJANAHARY,,,30000000,320420712,,,,176288,TRUE,FALSE
C22172,SOCIETE FAMATA,,ZONE FORELLO TANJOMBATO,,,0,331407925,,,,,TRUE,FALSE
C22173,BOUTIQUE SHELL RAVINALA,MME LALATIANA,BESARETY,,,0,,,,,,TRUE,FALSE
C22174,BON GOU,,FARALAZA TALATAMATY,,ANTANANARIVO,0,,,,,,TRUE,FALSE
C22175,QIT MADAGASCAR,,II J 169 IVANDRY VILLA 3H,BP4003,ANTANANARIVO,0,22 425 59,,,,507394,TRUE,FALSE
C22176,PHARMACIE D'ANOSIZATO,M. ANDRIANAIVO,Lot AZ 83 A II Anosizato Ouest,,ANTANANARIVO,1000000,22 00 987/032 07 062,,,,,TRUE,FALSE
C22177,SOCIETE FESTIVAL SA,,169 Bis Ambohipanja Ankadikely,BP 8728 101 Antananarivo,ANTANANARIVO,0,22 435 41,22 816 47,,,,TRUE,FALSE
C22178,MALAGASY COMMODITIES,MME IRMA,15 AVENUE DE L'INDEPENDENCE ANALAKE,,ANTANANARIVO,0,22 287 25,22 287 31,gfm.bacoffice@.trimeta.com,,,TRUE,FALSE
C22179,DEMAD,,BP 71 MANDROSOA IVATO,,ANTANANARIVO,0,22 451 02,,,,522988,TRUE,FALSE
C22180,PHARMACIE HASIMBOLA,MME AIMEE,TANA WATER FRONT,AMBODIVONA,ANTANANARIVO,0,22 259 50,,,,595182,TRUE,FALSE
C22181,ETEMAD,,PK 3 ROUTE DE MAJUNGA ANDRAHARO,,ANTANANARIVO,1000000,22 205 07,,,,94472,TRUE,FALSE
C22182,ZITAL,,BP 1495 LALANA RAVONINAHITRINIARIVO,ANKORONDRANO,ANTANANARIVO,0,22 394 46,22 250 30,,,527 094,TRUE,FALSE
C22183,RAZAFIARIMALAZA Bakoly,,LOT 007 A TER AMBOHIBAO,,ANTANANARIVO,0,,,,,569 395,TRUE,FALSE
C22184,MADAGASCAR PESCA,,22 RUE DR VILLETTE ISORAKA,,ANTANANARIVO,0,22 220 25,,,,,TRUE,FALSE
C22185,TNT Import - Export,,LOT 057 B AMBOHIBAO,,ANTANANARIVO,0,22 457 71/312 98,,tnt@simicro.mg,,,TRUE,FALSE
C22186,SOCIETE NICKEL,,LOT 264 CITE 67 Ha SUD,,ANTANANARIVO,0,22 348 67,,,,582074,TRUE,FALSE
C22187,PHARMACIE PRINCIPALE,,LOT II J 18 C IVANDRY,IVANDRY,ANTANANARIVO,0,22 439 15,22 439 70,,,,TRUE,FALSE
