"ref","name","address/name","address/street","address/street2","address/city","credit_limit","address/phone","address/fax","email","x_nif","x_stat","customer","supplier"
"F22063","GALLEE M/CAR",,,,,0,,,,,,"FALSE","TRUE"
"F22064","OSHWAL TRADE",,,,,0,,,,,,"FALSE","TRUE"
"F22065","QUINCAILLERIE SAMBATRA",,,,,0,,,,,,"FALSE","TRUE"
"F22066","SICAM",,,,,0,,,,,,"FALSE","TRUE"
"F22067","TOTAL MADAGASIKARA",,,,,0,,,,,,"FALSE","TRUE"
"F22068","MAEXI TRADING",,"ENCEINTE TANA WATER FRONT AMBODIVON",,,0,,,,,,"FALSE","TRUE"
"F22069","MADO",,"RN7 ROUTE D'ANTSIRABE",,,0,,,,,,"FALSE","TRUE"
"F22070","DISCONORD",,"TANJOMBATO ANKADIMBAHOAKA",,,0,,,,,,"FALSE","TRUE"
"F22071","AURLAC",,"ENCEINTE SCORE DIGUE",,,0,,,,,,"FALSE","TRUE"
"F22072","SOREDIM",,"ANKORONDRANO","BP1495",,0,,,,,,"FALSE","TRUE"
"F22073","MEDICAL STORE",,"23 RUE RAMANELINAAMBATONAKANGA",,,0,,,,,,"FALSE","TRUE"
"F22074","PHOREST",,,,,0,,,,,,"FALSE","TRUE"
"F22075","PRINT EXPRESS",,,,,0,,,,,,"FALSE","TRUE"
"F22076","TECHNO PLUS",,"3 rue Rasamimanana","BEHORIRIKA",,0,,,,,,"FALSE","TRUE"
"F22077","DROGEMAD",,"BP 125 TANA",,,0,,,,,,"FALSE","TRUE"
"F22078","ORANGE",,"IMMEUBLE GALAXY","RUE DR RASETA ANDRAHARO",,0,,,,,,"FALSE","TRUE"
"F22079","LOCATRANS",,"BP 12015 ANTANANARIVO",,,0,"331101486","2220724",,,,"FALSE","TRUE"
"F22080","CD-R",,,,,0,,,,,,"FALSE","TRUE"
"F22081","CGA",,"7 AVENUE DE L'INDEPENDANCE","2? ETAGE SOARANO",,0,"22 323 88","22 323 88","aa-cga@wanadoo.mg",,,"FALSE","TRUE"
"F22082","MADAKEM",,"LOT II A 150 BIS NANISANA ANTANANAR",,,0,,,,,,"FALSE","TRUE"
"F22083","SOAM",,"ANOSIVAVAKA ANTANANARIVO","BP 53 ANTANANARIVO",,0,,,,,,"FALSE","TRUE"
"F22084","STTE",,"Parcelle20 zone industriel FORELLO ","BP7518 ANTANANARIVO101",,0,"22 572 92","22 572 93",,"126641",,"FALSE","TRUE"
"F22085","SFOI",,"ZIF FORELLO",,,0,,,,,,"FALSE","TRUE"
"F22086","CMS MANAMBINA",,"ITAOSY AMBANILALANA",,,0,,,,,,"FALSE","TRUE"
"F22087","PROGECOM",,,,,0,,,,,,"FALSE","TRUE"
"F22088","CIMELTA",,,,,0,,,,,,"FALSE","TRUE"
"F22089","SUNTHESIS",,"BP 4297 ANTANANARIVO",,,0,,,,,,"FALSE","TRUE"
"F22090","SOVAL",,"BP 663 RUE PLANQUE EDOUARD AMPASANI",,,0,,,,,,"FALSE","TRUE"
"F22091","FDC",,"LOT 27 I IMERINAFOVOANY TALATAMATY",,,0,,,,,,"FALSE","TRUE"
"F22092","TEXCOM",,"LOT II K 60 B MAHATONY IVANDRY",,,0,,,,,,"FALSE","TRUE"
"F22093","APMA",,"ZONE ZITAL AKORONDRANO",,,0,,,,,,"FALSE","TRUE"
"F22094","SEPCM",,"SOANIERANA","BP 134",,0,,,,,,"FALSE","TRUE"
"F22095","BASE SARL",,"LOT K4/ 103-B AMPANDRONA IVATO",,,0,,,,,,"FALSE","TRUE"
"F22096","MACOGI",,"RUE DU MARCHE IVATO",,,0,,,,,,"FALSE","TRUE"
"F22097","MAZARS FIVOARANA",,"13 RUE PATRICE LUMUMBA TSARALALANA",,,0,,,,,,"FALSE","TRUE"
"F22098","MAISON TAIBALY",,"IMMEUBLE TANA 2000 ANKORONDRANO",,,0,,,,,,"FALSE","TRUE"
"F22099","FOURNISSEURS D'IMMO",,,,,0,,,,,,"FALSE","TRUE"
"F22100","ANDRIAPARISON RICHARD",,,,,0,,,,,,"FALSE","TRUE"
"F22101","BURMAS",,,,,0,,,,,,"FALSE","TRUE"
"F22102","MEGA PRINT",,,,,0,,,,,,"FALSE","TRUE"
"F22103","CHANDARANA",,,,,0,,,,,,"FALSE","TRUE"
"F22104","IMANE TRAVEL",,,,,0,,,,,,"FALSE","TRUE"
"F22105","MYE",,"16 RUE RAHARINOSY ANDOHALO",,,0,,,,,,"FALSE","TRUE"
"F22106","DOM'EAU",,,,,0,,,,,,"FALSE","TRUE"
"F22107","PAUL ARSENE TRSP",,"LOT 87 TANJONDAVA TALATAMATY",,,0,,,,,,"FALSE","TRUE"
"F22108","NOMENA TRSP",,,,,0,,,,"6349367",,"FALSE","TRUE"
"F22109","DOMINIQUE TRSP",,"LOT 112 C AMBOROPOTSY TALATAMATY",,,0,,,,,,"FALSE","TRUE"
"F22110","STE MELLIS",,,,,0,,,,,,"FALSE","TRUE"
"F22111","MAGRO",,,,,0,,,,,,"FALSE","TRUE"
"F22112","KABIR ABASSE",,,,,0,,,,,,"FALSE","TRUE"
"F22113","SOA EZAKA",,,,,0,,,,,,"FALSE","TRUE"
"F22114","HORIZON IVATO",,,,,0,,,,,,"FALSE","TRUE"
"F22115","SMTT",,,,,0,,,,,,"FALSE","TRUE"
"F22116","BATPRO",,,,,0,,,,,,"FALSE","TRUE"
"F22117","TIP TOP TRAVEL",,,,,0,,,,,,"FALSE","TRUE"
"F22118","SAFMARINE",,,,,0,,,,,,"FALSE","TRUE"
"F22119","MANAMBINA CONFECTION",,,,,0,,,,,,"FALSE","TRUE"
"F22120","NAMOUELA TRSP",,,,,0,,,,,,"FALSE","TRUE"
"F22121","MICROMAD",,,,,0,,,,,,"FALSE","TRUE"
"F22122","COLINA ASSURANCES",,,,,0,,,,,,"FALSE","TRUE"
"F22123","EASTWORK M/CAR INDUSTRIES",,,,,0,,,,,,"FALSE","TRUE"
"F22124","ARO ASSURANCES",,,,,0,,,,,,"FALSE","TRUE"
"F22125","DECODIF",,,,,0,,,,,,"FALSE","TRUE"
"F22126","MEKZ LIMITED",,,,,0,,,,,,"FALSE","TRUE"
"F22127","MAC SIOU TRSP",,"LOT PN 32 TER ANKADINDRATOMBO",,,0,"331212447","2236934",,"10865661",,"FALSE","TRUE"
"F22128","SERVOCHEM",,,,,0,,,,,,"FALSE","TRUE"
"F22129","FUTURIA EURL",,,,,0,,,,,,"FALSE","TRUE"
"F22130","PALM HOTEL",,,,,0,,,,,,"FALSE","TRUE"
"F22131","SOMACOU",,,,,0,,,,,,"FALSE","TRUE"
"F22132","MAERSK",,,,,0,,,,,,"FALSE","TRUE"
"F22133","PRODOLIE SARL",,,,,0,,,,,,"FALSE","TRUE"
"F22134","CERNOL M/CAR",,,,,0,,,,,,"FALSE","TRUE"
"F22135","DHL",,"LOT IIJ 181F BIS IVANDRY ANTANANARI",,,0,"22 422 64",,"www.dhl.com.mg","105003594",,"FALSE","TRUE"
"F22136","FANDROSOANA SA",,,,,0,,,,,,"FALSE","TRUE"
"F22137","TTRA RMB",,,,,0,,,,,,"FALSE","TRUE"
"F22138","DODO TRAVEL",,,,,0,,,,,,"FALSE","TRUE"
"F22139","SERIM",,,,,0,,,,,,"FALSE","TRUE"
"F22140","GALANA",,,,,0,,,,,,"FALSE","TRUE"
"F22141","ETS IT BUROTEC",,,,,0,,,,,,"FALSE","TRUE"
"F22142","FREIGHTLINE",,"LOT III,CITE N?3 MANAKAMBAHINY ANTA",,,0,"2228698","2238802","freightline@freightline-madagascar.com","35091813",,"FALSE","TRUE"
"F22143","CEMM",,"33 AV CAL RAMANANTSOA ISORAKA",,,0,,,,,,"FALSE","TRUE"
"F22144","MEGA INFORMATIQUE",,,,,0,,,,,,"FALSE","TRUE"
"F22145","LE ROSSINI",,,,,0,,,,,,"FALSE","TRUE"
"F22146","IMAGES",,"LOT VII B 075 MALAZA ANDOHARANOFOTS",,,0,,,,,,"FALSE","TRUE"
"F22147","A Inserer cemm",,"33 AVENUE GL RAMANANTSOA ISORAKA",,,0,,,,,,"FALSE","TRUE"
"F22148","SOCIETE FIDUCIAIRE DE L'O.I",,,,,0,,,,,,"FALSE","TRUE"
"F22149","ENTRAL",,,,,0,,,,,,"FALSE","TRUE"
"F22150","MIDI MADAGASCAR",,,,,0,,,,,,"FALSE","TRUE"
"F22151","LES NOUVELLES",,,,,0,,,,,,"FALSE","TRUE"
"F22152","SOGEX OI",,"LOT H73 Bis Ambohidratrimo 105",,,0,"22 450 96",,,"10134733",,"FALSE","TRUE"
"F22153","NYR IMAGE",,,,,0,,,,,,"FALSE","TRUE"
"F22154","RAKOTO ANDRIANIAINA TRANSPORTEUR",,,,,0,,,,"4657062",,"FALSE","TRUE"
"F22155","NEWPACK",,,,,0,,,,,,"FALSE","TRUE"
"F22156","L HOMME JEAN PAUL",,,,,0,,,,,,"FALSE","TRUE"
"F22157","DOKA  SARL",,"LOT CF 82 AMPITATAFIKA",,"ANTANANARIVO",0,"2638855",,,,,"FALSE","TRUE"
"F22158","RADIO ACEEM",,,,,0,,,,,,"FALSE","TRUE"
"F22159","ULTIMATE SERVICES",,"LOT 90 FM MORONDAVA ANTEHIROKA",,"ANTANANARIVO",0,,,,"15089766","00857 16/DGI/B","FALSE","TRUE"
"F22160","ARIO MADAGASCAR",,,,,0,,,,,,"FALSE","TRUE"
"F22161","TRANSPORT DIDIER LEUNG",,,,,0,,,,,,"FALSE","TRUE"
"F22162","ETS  J. T. A.",,,,,0,,,,,,"FALSE","TRUE"
"F22163","TRANSPORT MANIRY",,,,,0,,,,,,"FALSE","TRUE"
"F22164","EXPRESS DE Mcar",,,,,0,,,,,,"FALSE","TRUE"
"F22165","TOP SYSTEM",,,,,0,,,,,,"FALSE","TRUE"
"F22166","RTA",,,,,0,,,,,,"FALSE","TRUE"
"F22167","TV PLUS",,,,,0,,,,,,"FALSE","TRUE"
"F22168","GROUPE MATV",,,,,0,,,,,,"FALSE","TRUE"
"F22169","RADIO R. N. M.",,,,,0,,,,,,"FALSE","TRUE"
"F22170","RADIO R. D. B.",,,,,0,,,,,,"FALSE","TRUE"
"F22171","LA GAZETTE",,,,,0,,,,,,"FALSE","TRUE"
"F22172","LA VERITE",,,,,0,,,,,,"FALSE","TRUE"
"F22173","A Inserer ma tv",,,,,0,,,,,,"FALSE","TRUE"
"F22174","TRANSPORT VELO ALEXIS",,,,,0,,,,,,"FALSE","TRUE"
"F22175","AREPLAST",,,,,0,,,,,,"FALSE","TRUE"
"F22176","O NET PRINT",,"Antananarivo",,,0,,,,,,"FALSE","TRUE"
"F22177","AGENCE",,,,,0,,,,,,"FALSE","TRUE"
"F22178","TRANSPORTEUR RAKOTOMAHEFA Raymond",,,,,0,,,,,,"FALSE","TRUE"
"F22179","TRANSPORTEUR RAKOTOARINIVO",,,,,0,,,,,,"FALSE","TRUE"
"F22180","TRANSPORT NOMENA",,,,,0,,,,,,"FALSE","TRUE"
"F22181","LUXOR",,,,,0,,,,,,"FALSE","TRUE"
"F22182","Mme ZIYAD",,,,,0,,,,,,"FALSE","TRUE"
"F22183","TRANSPORT ALIBAY",,,,,0,,,,,,"FALSE","TRUE"
"F22184"," CASCADE",,"Lot pr?s II M 73 bis - Antsakaviro","Antananarivo",,0,"22 605 99","22 550 69","cascad@moov.mg",,,"FALSE","TRUE"
"F22185","RUBIS",,"Antananarivo",,,0,,,,,,"FALSE","TRUE"
"F22186","TRANSPORT GTD",,,,,0,,,,,,"FALSE","TRUE"
"F22187","DISCODIN",,,,,0,,,,,,"FALSE","TRUE"
"F22188","AES",,,,,0,,,,,,"FALSE","TRUE"
"F22189","V7 SUPREME CENTER",,,,,0,,,,,,"FALSE","TRUE"
"F53001","HO CHIU LEON",,,,,0,,,,,,"FALSE","TRUE"
"F53002","SEAL",,"BP18 TAMATAVE",,,0,"53 325 48","53333937","sealtmm@moov.mg","105000636",,"FALSE","TRUE"
"F53003","TAMA IMPORT",,,,,0,,,,,,"FALSE","TRUE"
"F53004","PARACK SAFIA CASSIM",,,,,0,,,,,,"FALSE","TRUE"
"F53005","SMEM",,"BP 124 TOAMASINA","T?l 53 327 77 Fax 53 335 98",,0,,,,,,"FALSE","TRUE"
"F53006","IARY CLAUDE TRSP",,"Lot 44 cit? BERYL ROSE",,,0,,,,,,"FALSE","TRUE"
"F53007","TRANSPORT TRD",,"MANAMBATO TAMATAVE",,,0,"324671081",,,"70131824",,"FALSE","TRUE"
"F53008","PIRBAY TRSP",,,,,0,,,,,,"FALSE","TRUE"
"F53009","ENTREPRISE MANIRY",,"PLLE 14/21 SALAZAMAY NORD","TAMATAVE",,0,,,,,,"FALSE","TRUE"
"F53010","TRANSPORT FOOT CORINE",,,,,0,,,,,,"FALSE","TRUE"
"F53011","GTD TRANSPORT",,,,,0,,,,,,"FALSE","TRUE"
"F99001","CENI",,"35 Avenue de l'Europe 78140 Velizy ",,,0,"33(0)130700900","33(0)130700999","cenisarl@ceni.fr",,,"FALSE","TRUE"
"F99002","FREESHORE INTERNATIONAL LTD",,,,,0,,,,,,"FALSE","TRUE"
"F99003","AKZO NOBEL",,,,,0,,,,,,"FALSE","TRUE"
"F99004","LEDAR INTERNATIONAL",,,,,0,,,,,,"FALSE","TRUE"
"F99005","NETERA",,,,,0,,,,,,"FALSE","TRUE"
"F99999","ETAT",,,,,0,,,,,,"FALSE","TRUE"
"FAAAAA","EXTRA GROUPE",,,,,0,,,,,,"FALSE","TRUE"
"FBBBBB","INTRA GROUPE",,,,,0,,,,,,"FALSE","TRUE"
