".id","inventory_line_id/location_id","inventory_line_id/product_id","inventory_line_id/product_qty"
,"Depot Tamatave","ACT_TOGE_001",33
,"Depot Tamatave","ACT_TOGG_001",9
,"Depot Alarobia","ACT_TOGJ_001",30
,"Depot Tamatave","ACT_TOGJ_001",66
,"Depot Tamatave","ACT_TOGN_001",30.999
,"Depot Alarobia","ACT_TOGN_001",46
,"Depot Tamatave","ACT_TOGR_001",17
,"Depot Alarobia","ACT_TOGR_001",17
,"Depot Alarobia","ACT_TOGT_001",13
,"Depot Tamatave","ACT_TOGT_001",20
,"Depot Tamatave","ACT_TOGV_001",112
,"Depot Alarobia","ACT_TOGV_001",303
,"Depot Tamatave","ACT_TOGW_001",28
,"Depot Alarobia","ACT_TOGW_001",30
,"Showroom Alarobia","ACT_VAP4_002",1
,"Depot Alarobia","ACT_VAP4_002",199
,"Depot Tamatave","ACT_VAP4_003",1
,"Showroom Alarobia","ACT_VAP6_001",2
,"DIGITAL (Magasin)","ACT_VAP6_001",499
,"Depot Alarobia","ACT_VAP6_001",2900
,"Depot Tamatave","ACT_VAP6_001",11849
,"SMOI (Discoi)","ACT_VAP6_001",17509
,"DIGITAL (Magasin)","ACT_VAP6_002",499
,"Depot Tamatave","ACT_VAP6_002",6894
,"Depot Alarobia","ACT_VAP6_002",8849
,"SMOI (Discoi)","ACT_VAP6_002",70758
,"Showroom Alarobia","ACT_VAP6_003",2
,"SMOI (Discoi)","ACT_VAP6_003",384
,"Depot Alarobia","ACT_VAP6_003",2914
,"Depot Tamatave","ACT_VAP6_003",6099
,"Showroom Alarobia","ACT_VAP6_004",2
,"DIGITAL (Magasin)","ACT_VAP6_004",249
,"Depot Alarobia","ACT_VAP6_004",5847
,"Depot Tamatave","ACT_VAP6_004",7699
,"SMOI (Discoi)","ACT_VAP6_004",35258
,"Showroom Alarobia","ACT_VAP6_005",2
,"Depot Alarobia","ACT_VAP6_005",3439
,"Depot Tamatave","ACT_VAP6_005",5235
,"SMOI (Discoi)","ACT_VAP6_005",26033
,"Showroom Alarobia","ACT_VAP6_006",2
,"Depot Tamatave","ACT_VAP6_006",100
,"Depot Alarobia","ACT_VAP6_006",5999
,"SMOI (Discoi)","ACT_VAP6_006",54683
,"Showroom Alarobia","ACT_VAP6_007",2
,"DIGITAL (Magasin)","ACT_VAP6_007",694
,"Depot Alarobia","ACT_VAP6_007",5006
,"Depot Tamatave","ACT_VAP6_007",20422
,"Showroom Alarobia","ACT_VAT6_001",1
,"SMOI (Discoi)","ACT_VAT6_001",199
,"Depot Tamatave","ACT_VAT6_001",8100
,"Depot Alarobia","ACT_VAT6_001",13350
,"Depot Alarobia","ACT_VAT6_002",10000
,"Depot Tamatave","ACT_VAT6_002",74730
,"Depot Alarobia","ACT_VAT6_003",9400
,"Depot Tamatave","ACT_VAT6_003",72764
,"Showroom Tamatave","AGR_CANI_013",1
,"Depot Tamatave","AGR_CANI_013",15
,"Showroom Tamatave","AGR_CANI_015",1
,"Depot Tamatave","AGR_CANI_015",4
,"Showroom Tamatave","AGR_CANI_016",1
,"Showroom Tamatave","AGR_CANI_020",1
,"Depot Tamatave","AGR_CANI_020",1
,"Showroom Tamatave","AGR_CANI_021",1
,"Depot Tamatave","AGR_CANI_021",1
,"Showroom Alarobia","AGR_CANI_021",1
,"Depot Tamatave","AGR_CANI_022",1
,"Showroom Tamatave","AGR_CANI_023",1
,"Depot Tamatave","AGR_CANI_023",2
,"Showroom Tamatave","AGR_CANI_024",1
,"Depot Tamatave","AGR_CANI_024",9
,"Showroom Tamatave","AGR_CANI_025",1
,"Depot Tamatave","AGR_CANI_025",4
,"Showroom Tamatave","AGR_CANI_026",2
,"Depot Tamatave","AGR_CANI_026",5
,"Showroom Alarobia","AGR_CANI_028",1
,"Depot Alarobia","AGR_CANI_028",9
,"DIGITAL (Magasin)","AGR_CANI_029",7
,"Showroom Tamatave","AGR_CANI_030",1
,"Depot Tamatave","AGR_CANI_030",4
,"DIGITAL (Magasin)","AGR_CANI_030",5
,"Showroom Tamatave","AGR_CANI_031",1
,"Depot Tamatave","AGR_CANI_031",1
,"DIGITAL (Magasin)","AGR_GANT_001",1
,"Showroom Tamatave","AGR_HYGI_001",1
,"Depot Tamatave","AGR_HYGI_001",76
,"Depot Alarobia","AGR_HYGI_001",117
,"Showroom Alarobia","AGR_HYGI_002",1
,"DIGITAL (Magasin)","AGR_HYGI_002",4
,"Depot Alarobia","AGR_HYGI_002",5
,"Depot Tamatave","AGR_HYGI_002",11
,"Showroom Tamatave","AGR_HYGI_003",1
,"Depot Alarobia","AGR_HYGI_003",10
,"Depot Tamatave","AGR_HYGI_003",20
,"DIGITAL (Magasin)","AGR_HYGI_003",73
,"DIGITAL (Magasin)","AGR_HYGI_004",10
,"Showroom Tamatave","AGR_HYGI_006",1
,"DIGITAL (Magasin)","AGR_HYGI_006",4
,"Depot Tamatave","AGR_HYGI_006",14
,"DIGITAL (Magasin)","AGR_HYGI_007",10
,"Depot Tamatave","AGR_HYGI_007",23
,"Depot Alarobia","AGR_HYGI_008",6
,"DIGITAL (Magasin)","AGR_HYGI_008",7
,"Depot Tamatave","AGR_HYGI_008",11
,"DIGITAL (Magasin)","AGR_HYGI_009",40
,"Depot Alarobia","AGR_HYGI_010",2
,"Depot Tamatave","AGR_HYGI_010",3
,"DIGITAL (Magasin)","AGR_HYGI_010",16
,"Depot Tamatave","AGR_HYGI_012",10
,"DIGITAL (Magasin)","AGR_HYGI_013",1
,"Showroom Tamatave","AGR_HYGI_014",1
,"DIGITAL (Magasin)","AGR_HYGI_014",4
,"Depot Tamatave","AGR_HYGI_014",9
,"Showroom Tamatave","AGR_HYGI_016",1
,"DIGITAL (Magasin)","AGR_HYGI_016",2
,"Showroom Tamatave","AGR_HYGI_017",1
,"DIGITAL (Magasin)","AGR_HYGI_017",1
,"Showroom Tamatave","AGR_HYGI_018",1
,"Showroom Tamatave","AGR_HYGI_019",1
,"DIGITAL (Magasin)","AGR_HYGI_019",11
,"Showroom Tamatave","AGR_HYGI_020",1
,"Showroom Alarobia","AGR_HYGI_020",1
,"DIGITAL (Magasin)","AGR_HYGI_020",2
,"Depot Tamatave","AGR_HYGI_020",10
,"Depot Alarobia","AGR_HYGI_020",33
,"Depot Tamatave","AGR_HYGI_021",4
,"SMOI (Discoi)","AGR_HYGI_021",45
,"DIGITAL (Magasin)","AGR_HYGI_022",12
,"Depot Alarobia","AGR_HYGI_024",3
,"Depot Tamatave","AGR_HYGI_024",15
,"DIGITAL (Magasin)","AGR_HYGI_024",20
,"Showroom Tamatave","AGR_HYGI_026",1
,"DIGITAL (Magasin)","AGR_HYGI_028",2
,"DIGITAL (Magasin)","AGR_HYGI_030",5
,"Showroom Tamatave","AGR_HYGI_031",1
,"Depot Tamatave","AGR_HYGI_031",1
,"Showroom Alarobia","AGR_HYGI_031",1
,"Depot Alarobia","AGR_HYGI_031",5
,"Showroom Alarobia","AGR_HYGI_032",1
,"DIGITAL (Magasin)","AGR_HYGI_032",5
,"Depot Tamatave","AGR_HYGI_032",10
,"Depot Alarobia","AGR_HYGI_032",10
,"SMOI (Discoi)","AGR_HYGI_032",12
,"Showroom Tamatave","AGR_HYGI_033",1
,"Depot Alarobia","AGR_HYGI_033",3
,"Depot Tamatave","AGR_HYGI_033",11
,"Depot Alarobia","AGR_HYGI_034",2
,"DIGITAL (Magasin)","AGR_HYGI_034",5
,"Depot Tamatave","AGR_HYGI_034",64
,"Showroom Alarobia","AGR_HYGI_035",1
,"Depot Alarobia","AGR_HYGI_035",17
,"Depot Tamatave","AGR_HYGI_035",34
,"DIGITAL (Magasin)","AGR_HYGI_036",5
,"Depot Tamatave","AGR_HYGI_036",19
,"Depot Alarobia","AGR_HYGI_037",14
,"Depot Tamatave","AGR_HYGI_037",15
,"DIGITAL (Magasin)","AGR_HYGI_037",116
,"Depot Tamatave","AGR_HYGI_038",66
,"DIGITAL (Magasin)","AGR_HYGI_040",1
,"Depot Tamatave","AGR_HYGI_041",40
,"Depot Tamatave","AGR_HYGI_042",44
,"DIGITAL (Magasin)","AGR_HYGI_043",19
,"Depot Alarobia","AGR_HYGI_044",50
,"Showroom Alarobia","AGR_HYGI_045",1
,"Depot Alarobia","AGR_HYGI_045",9
,"DIGITAL (Magasin)","AGR_JAGR_003",1
,"DIGITAL (Magasin)","AGR_JAKI_001",8
,"Depot Tamatave","AGR_JALY_001",3
,"Showroom Alarobia","AGR_JALY_002",1
,"DIGITAL (Magasin)","AGR_JALY_002",2
,"Depot Tamatave","AGR_JALY_002",8
,"Depot Alarobia","AGR_JALY_002",8
,"Showroom Alarobia","AGR_JALY_003",1
,"Depot Alarobia","AGR_JALY_003",6
,"Depot Tamatave","AGR_JAMA_001",8
,"DIGITAL (Magasin)","AGR_JANA_002",9
,"Showroom Tamatave","AGR_JAST_001",1
,"Depot Tamatave","AGR_JAST_001",14
,"DIGITAL (Magasin)","AGR_JAST_002",1
,"Depot Tamatave","AGR_JAST_002",16
,"DIGITAL (Magasin)","AGR_JAST_003",1
,"Showroom Alarobia","AGR_JAST_003",1
,"Depot Tamatave","AGR_JAST_003",8
,"Depot Alarobia","AGR_JAST_003",9
,"Depot Tamatave","AGR_JAST_004",5
,"Showroom Alarobia","AGR_JAUB_001",1
,"Depot Alarobia","AGR_JAUB_001",8
,"Depot Tamatave","AGR_JAUB_003",1
,"Showroom Alarobia","AGR_JBAS_001",2
,"Depot Tamatave","AGR_JBAS_001",7
,"Depot Alarobia","AGR_JBAS_001",11
,"Depot Alarobia","AGR_JBET_001",1
,"Depot Tamatave","AGR_JBET_002",10
,"DIGITAL (Magasin)","AGR_JBET_003",1
,"Showroom Alarobia","AGR_JBET_003",2
,"Depot Tamatave","AGR_JBET_003",5
,"Depot Alarobia","AGR_JBET_003",11
,"Showroom Tamatave","AGR_JBLA_001",1
,"Depot Alarobia","AGR_JBLA_001",5
,"Showroom Alarobia","AGR_JBLA_002",1
,"SMOI (Discoi)","AGR_JBLA_002",1
,"Depot Alarobia","AGR_JBLA_003",1
,"Showroom Alarobia","AGR_JBRO_001",1
,"Depot Tamatave","AGR_JBRO_001",3
,"Depot Alarobia","AGR_JBRO_001",9
,"Showroom Alarobia","AGR_JCAM_001",1
,"Depot Alarobia","AGR_JCAM_001",9
,"DIGITAL (Magasin)","AGR_JCAP_001",6
,"Depot Tamatave","AGR_JCAP_001",10
,"Showroom Alarobia","AGR_JCAP_003",2
,"Depot Tamatave","AGR_JCAP_003",8
,"Depot Alarobia","AGR_JCAP_003",10
,"Depot Tamatave","AGR_JCAR_001",10
,"Depot Tamatave","AGR_JCAR_002",5
,"Showroom Alarobia","AGR_JCAR_003",1
,"Depot Tamatave","AGR_JCAR_003",5
,"Depot Alarobia","AGR_JCAR_003",10
,"Showroom Alarobia","AGR_JCAR_004",1
,"Showroom Alarobia","AGR_JCAR_005",1
,"Depot Alarobia","AGR_JCAR_005",9
,"Showroom Alarobia","AGR_JCEL_001",1
,"Depot Alarobia","AGR_JCEL_001",8
,"Depot Tamatave","AGR_JCEL_001",13
,"Showroom Alarobia","AGR_JCEL_002",1
,"Depot Alarobia","AGR_JCEL_002",2
,"Depot Tamatave","AGR_JCEL_002",5
,"Depot Tamatave","AGR_JCEL_003",7
,"Depot Tamatave","AGR_JCEL_005",5
,"Showroom Alarobia","AGR_JCEL_006",1
,"Depot Alarobia","AGR_JCEL_006",5
,"Depot Tamatave","AGR_JCEL_006",5
,"Showroom Alarobia","AGR_JCHI_001",1
,"Showroom Tamatave","AGR_JCHI_001",2
,"Depot Alarobia","AGR_JCHI_001",9
,"Depot Tamatave","AGR_JCHI_001",30
,"Showroom Tamatave","AGR_JCHO_001",1
,"Showroom Alarobia","AGR_JCHO_001",1
,"Depot Alarobia","AGR_JCHO_001",9
,"Depot Tamatave","AGR_JCHO_001",26
,"Showroom Alarobia","AGR_JCHO_002",1
,"Depot Alarobia","AGR_JCHO_002",7
,"Depot Tamatave","AGR_JCHO_002",8
,"Depot Tamatave","AGR_JCHO_004",10
,"Depot Tamatave","AGR_JCHO_005",1
,"DIGITAL (Magasin)","AGR_JCHO_006",1
,"Depot Tamatave","AGR_JCHO_006",13
,"Depot Tamatave","AGR_JCHO_007",7
,"Depot Tamatave","AGR_JCHO_008",12
,"Showroom Alarobia","AGR_JCHO_009",1
,"Depot Tamatave","AGR_JCHO_009",4
,"Depot Alarobia","AGR_JCHO_009",5
,"Showroom Alarobia","AGR_JCHO_010",1
,"Depot Tamatave","AGR_JCHO_010",6
,"Depot Alarobia","AGR_JCHO_010",10
,"Showroom Alarobia","AGR_JCHO_011",1
,"Depot Tamatave","AGR_JCHO_011",4
,"Depot Alarobia","AGR_JCHO_011",10
,"Showroom Tamatave","AGR_JCIB_001",1
,"Showroom Alarobia","AGR_JCIB_001",1
,"Depot Alarobia","AGR_JCIB_001",7
,"Showroom Alarobia","AGR_JCIN_001",1
,"Depot Alarobia","AGR_JCIN_001",4
,"Depot Tamatave","AGR_JCIN_001",5
,"Showroom Alarobia","AGR_JCLA_001",1
,"Depot Alarobia","AGR_JCLA_001",7
,"Depot Tamatave","AGR_JCLA_001",8
,"Showroom Alarobia","AGR_JCOF_001",1
,"Depot Tamatave","AGR_JCOF_001",4
,"Depot Alarobia","AGR_JCOF_001",9
,"Depot Tamatave","AGR_JCOF_002",10
,"Showroom Alarobia","AGR_JCOL_001",1
,"Depot Alarobia","AGR_JCOL_001",9
,"Depot Tamatave","AGR_JCOL_001",10
,"Showroom Tamatave","AGR_JCOM_001",1
,"Depot Tamatave","AGR_JCOM_001",3
,"Showroom Alarobia","AGR_JCON_001",1
,"Depot Alarobia","AGR_JCON_001",8
,"Showroom Alarobia","AGR_JCOR_001",2
,"Depot Tamatave","AGR_JCOR_001",10
,"Depot Alarobia","AGR_JCOR_001",14
,"Showroom Tamatave","AGR_JCOS_003",1
,"Showroom Alarobia","AGR_JCOS_003",1
,"Depot Alarobia","AGR_JCOS_003",8
,"Depot Tamatave","AGR_JCOS_003",14
,"Depot Tamatave","AGR_JCOS_005",9
,"Showroom Alarobia","AGR_JCOU_001",1
,"Depot Tamatave","AGR_JCOU_001",10
,"Depot Alarobia","AGR_JCOU_001",10
,"Showroom Alarobia","AGR_JCOU_002",1
,"Depot Alarobia","AGR_JCOU_002",2
,"Depot Tamatave","AGR_JCOU_002",4
,"Showroom Tamatave","AGR_JCRO_002",1
,"DIGITAL (Magasin)","AGR_JCRO_002",6
,"Showroom Alarobia","AGR_JDAH_001",1
,"Depot Alarobia","AGR_JDAH_001",9
,"DIGITAL (Magasin)","AGR_JDEL_001",1
,"Depot Tamatave","AGR_JDEL_001",13
,"Showroom Tamatave","AGR_JDEL_002",1
,"Depot Tamatave","AGR_JDEL_002",6
,"DIGITAL (Magasin)","AGR_JEND_001",1
,"DIGITAL (Magasin)","AGR_JEND_003",1
,"Showroom Alarobia","AGR_JEND_003",1
,"Depot Alarobia","AGR_JEND_003",9
,"DIGITAL (Magasin)","AGR_JENG_001",10
,"DIGITAL (Magasin)","AGR_JENG_002",4
,"Showroom Alarobia","AGR_JENG_003",1
,"Showroom Alarobia","AGR_JEPI_001",1
,"Depot Alarobia","AGR_JEPI_001",9
,"Showroom Tamatave","AGR_JGAZ_001",1
,"Showroom Alarobia","AGR_JGAZ_001",1
,"Depot Tamatave","AGR_JGAZ_001",4
,"Depot Alarobia","AGR_JGAZ_001",5
,"SMOI (Discoi)","AGR_JGAZ_001",18
,"Showroom Alarobia","AGR_JHAR_002",1
,"Depot Tamatave","AGR_JHAR_002",9
,"Depot Alarobia","AGR_JHAR_002",9
,"Depot Tamatave","AGR_JICE_001",7
,"DIGITAL (Magasin)","AGR_JICE_002",1
,"Depot Tamatave","AGR_JICE_002",16
,"Depot Tamatave","AGR_JICE_003",23
,"Showroom Alarobia","AGR_JLAI_004",1
,"Depot Alarobia","AGR_JLAI_004",8
,"Depot Tamatave","AGR_JLAI_004",24
,"DIGITAL (Magasin)","AGR_JLAR_001",1
,"Showroom Alarobia","AGR_JLAR_001",1
,"Depot Tamatave","AGR_JLAR_001",6
,"Depot Alarobia","AGR_JLAR_001",9
,"Showroom Alarobia","AGR_JLIM_001",1
,"Depot Tamatave","AGR_JLIM_001",6
,"Depot Alarobia","AGR_JLIM_001",9
,"Showroom Tamatave","AGR_JMEL_002",1
,"Showroom Alarobia","AGR_JMEL_002",1
,"Depot Alarobia","AGR_JMEL_002",2
,"Depot Tamatave","AGR_JMEL_002",12
,"Showroom Alarobia","AGR_JMES_001",1
,"Depot Alarobia","AGR_JMES_001",7
,"Showroom Tamatave","AGR_JMIC_001",1
,"DIGITAL (Magasin)","AGR_JMIC_001",5
,"Depot Tamatave","AGR_JMIC_001",10
,"Showroom Tamatave","AGR_JMUS_001",1
,"Depot Tamatave","AGR_JMUS_001",11
,"DIGITAL (Magasin)","AGR_JNAV_001",18
,"Showroom Tamatave","AGR_JNAV_002",1
,"Showroom Alarobia","AGR_JNAV_002",1
,"Depot Alarobia","AGR_JNAV_002",11
,"Depot Tamatave","AGR_JNAV_002",13
,"Showroom Tamatave","AGR_JNEM_001",1
,"DIGITAL (Magasin)","AGR_JNEM_001",1
,"Showroom Alarobia","AGR_JNEM_001",1
,"Depot Tamatave","AGR_JNEM_001",8
,"Depot Alarobia","AGR_JNEM_001",8
,"Showroom Tamatave","AGR_JNOV_001",1
,"Showroom Alarobia","AGR_JNOV_001",1
,"Depot Tamatave","AGR_JNOV_001",19
,"Depot Alarobia","AGR_JNOV_001",19
,"Showroom Alarobia","AGR_JOIG_001",1
,"Depot Tamatave","AGR_JOIG_001",10
,"Depot Alarobia","AGR_JOIG_001",16
,"Depot Tamatave","AGR_JOIG_002",4
,"DIGITAL (Magasin)","AGR_JOIG_004",1
,"Showroom Alarobia","AGR_JPAN_001",1
,"Depot Tamatave","AGR_JPAN_001",5
,"Depot Alarobia","AGR_JPAN_001",7
,"Showroom Tamatave","AGR_JPAS_001",1
,"Showroom Alarobia","AGR_JPAS_001",1
,"Depot Alarobia","AGR_JPAS_001",4
,"Depot Tamatave","AGR_JPAS_001",6
,"DIGITAL (Magasin)","AGR_JPEL_002",6
,"DIGITAL (Magasin)","AGR_JPEN_002",1
,"Showroom Tamatave","AGR_JPEN_005",1
,"Depot Tamatave","AGR_JPER_001",14
,"Showroom Alarobia","AGR_JPER_002",1
,"Depot Alarobia","AGR_JPER_002",7
,"Depot Tamatave","AGR_JPER_002",14
,"Showroom Tamatave","AGR_JPET_001",1
,"Depot Tamatave","AGR_JPET_001",16
,"Depot Tamatave","AGR_JPET_002",1
,"Showroom Alarobia","AGR_JPET_002",1
,"Depot Alarobia","AGR_JPET_002",8
,"Showroom Alarobia","AGR_JPIM_001",1
,"Depot Tamatave","AGR_JPIM_001",6
,"Depot Alarobia","AGR_JPIM_001",10
,"Showroom Tamatave","AGR_JPOI_001",1
,"DIGITAL (Magasin)","AGR_JPOI_001",1
,"Showroom Alarobia","AGR_JPOI_001",1
,"Depot Tamatave","AGR_JPOI_001",7
,"Depot Alarobia","AGR_JPOI_001",10
,"Depot Alarobia","AGR_JPOM_001",10
,"DIGITAL (Magasin)","AGR_JPOM_001",144
,"Depot Tamatave","AGR_JPOV_001",10
,"Showroom Alarobia","AGR_JPOV_002",1
,"Depot Alarobia","AGR_JPOV_002",8
,"Showroom Tamatave","AGR_JPRA_001",1
,"DIGITAL (Magasin)","AGR_JPUL_002",1
,"Showroom Tamatave","AGR_JPUL_004",1
,"Showroom Alarobia","AGR_JPUL_008",1
,"Showroom Alarobia","AGR_JPUL_009",1
,"Depot Alarobia","AGR_JPUL_009",2
,"Showroom Tamatave","AGR_JPUL_010",1
,"DIGITAL (Magasin)","AGR_JPUL_010",3
,"Showroom Tamatave","AGR_JPUL_011",1
,"Depot Tamatave","AGR_JPUL_011",2
,"Showroom Alarobia","AGR_JPYR_001",1
,"DIGITAL (Magasin)","AGR_JPYR_001",3
,"Depot Alarobia","AGR_JPYR_001",4
,"Showroom Alarobia","AGR_JRAD_001",1
,"Depot Alarobia","AGR_JRAD_001",7
,"Showroom Alarobia","AGR_JRAD_002",1
,"Depot Tamatave","AGR_JRAD_002",6
,"Depot Alarobia","AGR_JRAD_002",9
,"DIGITAL (Magasin)","AGR_JSAL_003",17
,"Depot Tamatave","AGR_JSCA_001",1
,"DIGITAL (Magasin)","AGR_JSCA_001",1
,"Showroom Alarobia","AGR_JSCA_001",1
